linea,block_id,dist_lo,dist_hi,longitud_m,tipo,limite,nombre
L2,L2-B0,1.0,2.28,1280.0,single,estacion,CONCEPCIÓN → km2.28
L2,L2-B1,2.28,3.0,720.0,single,señal,km2.28 → km3.00
L2,L2-B2,3.0,3.37,370.0,double,estacion,km3.00 → km3.37
L2,L2-B3,3.37,3.38,10.0,double,señal,km3.37 → km3.38
L2,L2-B4,3.38,3.4,20.0,double,señal,km3.38 → km3.40
L2,L2-B5,3.4,3.66,260.0,double,señal,km3.40 → km3.66
L2,L2-B6,3.66,3.76,100.0,double,señal,km3.66 → km3.76
L2,L2-B7,3.76,3.839,79.0,double,señal,km3.76 → Juan Pablo II
L2,L2-B8,3.839,4.66,821.0,double,estacion,Juan Pablo II → km4.66
L2,L2-B9,4.66,5.571,911.0,double,señal,km4.66 → Diagonal Bio Bio
L2,L2-B10,5.571,6.88,1309.0,double,estacion,Diagonal Bio Bio → km6.88
L2,L2-B11,6.88,7.439,559.0,double,señal,km6.88 → Alborada
L2,L2-B12,7.439,8.04,601.0,double,estacion,Alborada → km8.04
L2,L2-B13,8.04,8.635,595.0,double,señal,km8.04 → Costa Mar
L2,L2-B14,8.635,9.5,865.0,double,estacion,Costa Mar → km9.50
L2,L2-B15,9.5,9.83,330.0,double,señal,km9.50 → El Parque
L2,L2-B16,9.83,11.026,1196.0,double,estacion,El Parque → LOMAS COLORADAS
L2,L2-B17,11.026,11.3,274.0,double,estacion,LOMAS COLORADAS → km11.30
L2,L2-B18,11.3,11.33,30.0,double,señal,km11.30 → km11.33
L2,L2-B19,11.33,11.53,200.0,double,señal,km11.33 → km11.53
L2,L2-B20,11.53,12.21,680.0,double,señal,km11.53 → km12.21
L2,L2-B21,12.21,12.88,670.0,double,señal,km12.21 → km12.88
L2,L2-B22,12.88,13.581,701.0,double,señal,km12.88 → Card. Raúl Silva Henriquez
L2,L2-B23,13.581,15.24,1659.0,double,estacion,Card. Raúl Silva Henriquez → km15.24
L2,L2-B24,15.24,16.137,897.0,double,señal,km15.24 → Hito Galvarino
L2,L2-B25,16.137,17.56,1423.0,double,estacion,Hito Galvarino → km17.56
L2,L2-B26,17.56,18.23,670.0,double,señal,km17.56 → km18.23
L2,L2-B27,18.23,18.693,463.0,double,señal,km18.23 → Los Canelos
L2,L2-B28,18.693,18.84,147.0,double,estacion,Los Canelos → km18.84
L2,L2-B29,18.84,18.85,10.0,double,señal,km18.84 → km18.85
L2,L2-B30,18.85,20.55,1700.0,double,señal,km18.85 → km20.55
L2,L2-B31,20.55,21.248,698.0,double,señal,km20.55 → Huinca
L2,L2-B32,21.248,22.24,992.0,double,estacion,Huinca → km22.24
L2,L2-B33,22.24,22.65,410.0,double,señal,km22.24 → km22.65
L2,L2-B34,22.65,23.6,950.0,double,señal,km22.65 → km23.60
L2,L2-B35,23.6,23.804,204.0,double,señal,km23.60 → Cristo Redentor
L2,L2-B36,23.804,23.84,36.0,double,estacion,Cristo Redentor → km23.84
L2,L2-B37,23.84,24.46,620.0,double,señal,km23.84 → km24.46
L2,L2-B38,24.46,25.2,740.0,double,señal,km24.46 → km25.20
L2,L2-B39,25.2,25.45,250.0,double,señal,km25.20 → km25.45
