portador,tren,estacion,llegada,salida
FEPASA,50012,(Viene programa ARENAL,13:15,
FEPASA,50011,CHILLÁN,21:44,
FEPASA,50012,CHILLÁN,13:36,
FEPASA,50011,Nebuco,22:05,
FEPASA,50012,Nebuco,13:52,
FEPASA,50411,Leonera,13:57,
FEPASA,50012,Leonera,14:02,
FEPASA,50011,RUCAPEQUÉN,22:15,
FEPASA,50012,Hualqui,14:15,
FEPASA,50011,Bulnes,22:31,
FEPASA,50012,Quilacoya,14:31,
FEPASA,50055,General Cruz,23:11,
FEPASA,50011,General Cruz,23:20,
FEPASA,50012,Unihue,14:43,
FEPASA,50011,Cabrero,23:41,
FEPASA,50411,Cabrero,14:53,
FEPASA,50012,Cabrero,14:59,
FEPASA,50011,Monte Águila,23:54,
FEPASA,50011,Yumbel,0:13,
FEPASA,50012,Yumbel,15:12,
FEPASA,50011,Turquía,0:35,
FEPASA,50012,Turquía,15:24,
FEPASA,50055,SAN ROSENDO,0:50,
FEPASA,50011,SAN ROSENDO,0:58,
FEPASA,50411,SAN ROSENDO,15:38,
FEPASA,50012,SAN ROSENDO,16:10,
FEPASA,50055,Buenuraqui,1:12,
FEPASA,50011,Buenuraqui,1:30,
FEPASA,50012,Buenuraqui,16:22,
FEPASA,50012,Yumbel,16:45,
FEPASA,50011,Gomero,1:42,
FEPASA,50012,Gomero,17:05,
FEPASA,50012,Cabrero,17:18,
FEPASA,50055,Talcamávida,1:55,
FEPASA,50011,Talcamávida,2:07,
FEPASA,50012,Talcamávida,17:38,
FEPASA,50012,Bulnes,18:16,
FEPASA,50011,Unihue,2:17,
FEPASA,50011,Quilacoya,2:30,
FEPASA,50012,Quilacoya,18:32,
FEPASA,50011,Hualqui,2:46,
FEPASA,50011,Leonera,2:59,
FEPASA,50012,Leonera,18:41,
FEPASA,50011,Chiguayante,3:04,
FEPASA,50012,CHILLÁN,19:01,
FEPASA,50011,CONCEPCIÓN,3:20,
FEPASA,50055,ARENAL,3:42,
FEPASA,50411,(1)Sábado pasa por Chillán cruza Bulnes con (2)Sábado Domingo sale Leonera,14:06,
FEPASA,50511,CONCEPCIÓN,3:20,
FEPASA,50512,CONCEPCIÓN,11:45,
FEPASA,50511,Biobío,3:31,
FEPASA,50512,Biobío,11:55,
FEPASA,50511,Boca Sur,3:36,
FEPASA,50511,Lomas Coloradas,3:41,
FEPASA,50512,Lomas Coloradas,12:01,
FEPASA,50511,Escuadrón,3:51,
FEPASA,50512,Escuadrón,12:08,
FEPASA,50511,Lagunillas,3:59,
FEPASA,50512,Lagunillas,12:18,
FEPASA,50512,Boca Sur,12:23,
FEPASA,50511,CORONEL,4:07,
FEPASA,50512,CORONEL,12:28,
FEPASA,50011,PATIO SUR,4:16,
FEPASA,50512,PATIO SUR,12:41,
FEPASA,50011,(3)Domingo sale Concepción,4:10,
FEPASA,50512,(3)Domingo sale Concepción,12:57,
FEPASA,50512,Leonera,13:02,
FEPASA,50012,HUALQUI,13:15,
FEPASA,50512,CONCEPCIÓN,12:02,
FEPASA,50511,Cosmito,3:45,
FEPASA,50012,Cosmito,12:18,
FEPASA,50512,Cosmito,12:40,
FEPASA,50511,Playa Negra,3:59,
FEPASA,50512,Cosmito,12:57,
FEPASA,50011,LIRQUÉN,4:15,
FEPASA,50012,CONCEPCIÓN,13:24,
FEPASA,50011,(4)Domingo sale Concepción,4:10,
FEPASA,50988,(Viene programa RUCAPEQUÉN,17:10,
FEPASA,50988,Lun. Sáb. Nebuco,17:20,17:51
FEPASA,50009,CHILLÁN,4:11,
FEPASA,50988,CHILLÁN,18:10,
FEPASA,50009,Nebuco,4:30,
FEPASA,50092,RUCAPEQUÉN,4:40,
FEPASA,50009,RUCAPEQUÉN,5:25,
FEPASA,50009,Bulnes,5:41,
FEPASA,50009,General Cruz,6:21,
FEPASA,50009,Cabrero,6:42,
FEPASA,50009,Monte Águila,6:55,
FEPASA,50009,Yumbel,7:14,
FEPASA,50009,Turquía,7:36,
FEPASA,50092,SAN ROSENDO,7:51,
FEPASA,50009,SAN ROSENDO,11:35,
FEPASA,50092,Buenuraqui,11:49,
FEPASA,50009,Buenuraqui,12:04,
FEPASA,50009,Gomero,12:16,
FEPASA,50009,Talcamávida,12:29,
FEPASA,50092,Unihue,12:39,
FEPASA,50009,Unihue,12:44,
FEPASA,50092,Quilacoya,12:57,
FEPASA,50009,Quilacoya,13:05,
FEPASA,50009,Hualqui,13:21,
FEPASA,50009,Leonera,13:34,
FEPASA,50009,Chiguayante,13:39,
FEPASA,50009,CONCEPCIÓN,13:55,
FEPASA,50092,ARENAL,14:17,
FEPASA,50982,(Viene programa NUEVA ALDEA,22:30,
FEPASA,50991,CHILLÁN,9:18,
FEPASA,50982,CHILLÁN,23:44,
FEPASA,50991,Nebuco,9:39,
FEPASA,50982,Nebuco,23:54,
FEPASA,50991,RUCAPEQUÉN,9:49,11:00
FEPASA,50982,RUCAPEQUÉN,0:15,
FEPASA,50991,NUEVA ALDEA,12:14,
FEPASA,50084,MARIQUINA,20:05,
FEPASA,50083,MARIQUINA,20:30,
FEPASA,50084,Lanco,20:39,
FEPASA,50083,Lanco,20:51,
FEPASA,50084,Loncoche,21:04,
FEPASA,50084,Lastarria,21:38,
FEPASA,50083,Lastarria,21:07,
FEPASA,50084,Gorbea,22:03,
FEPASA,50056,Gorbea,21:12,
FEPASA,50083,Gorbea,22:20,
FEPASA,50084,Pitrufquén,22:24,
FEPASA,50084,Freire,22:32,
FEPASA,50083,Freire,22:33,
FEPASA,50084,Quepe,22:48,
FEPASA,50084,Metrenco,22:56,
FEPASA,50056,Metrenco,22:49,
FEPASA,50083,Metrenco,22:54,
FEPASA,60501,TEMUCO,23:20,
FEPASA,50084,TEMUCO,23:30,
FEPASA,50083,TEMUCO,23:06,
FEPASA,50083,Talcamávida,23:16,
FEPASA,50084,Cajón,23:46,
FEPASA,50084,Pillanlelbún (desv.),23:57,
FEPASA,50083,Pillanlelbún (desv.),23:29,
FEPASA,50084,Lautaro,0:20,
FEPASA,50083,Lautaro,23:41,
FEPASA,50084,Perquenco,0:45,
FEPASA,50084,Púa,1:04,
FEPASA,50056,Púa,23:55,
FEPASA,50083,Púa,0:18,
FEPASA,50084,VICTORIA,1:25,
FEPASA,50083,VICTORIA,0:26,
FEPASA,50083,Diuquín,0:44,
FEPASA,50084,Inspector Fernández,1:35,
FEPASA,50083,Inspector Fernández,1:08,
FEPASA,50084,Ercilla,2:13,
FEPASA,60501,Collipulli,2:47,
FEPASA,50084,Collipulli,3:40,
FEPASA,50056,Collipulli,1:29,
FEPASA,50083,Collipulli,1:50,
FEPASA,50084,Mininco,4:17,
FEPASA,50083,Mininco,2:13,
FEPASA,60501,Renaico,4:50,
FEPASA,50084,Renaico,5:50,
FEPASA,50083,Renaico,2:49,
FEPASA,50083,Collipulli,3:22,
FEPASA,60501,COIGÜE,6:12,
FEPASA,50084,COIGÜE,6:45,
FEPASA,50083,Ercilla,3:49,
FEPASA,50084,Santa,7:06,
FEPASA,50083,Santa,4:23,
FEPASA,50084,Diuquín,7:30,
FEPASA,50084,Laja,7:49,
FEPASA,50083,Laja,4:33,
FEPASA,60501,SAN ROSENDO,7:57,
FEPASA,50084,SAN ROSENDO,9:18,
FEPASA,50083,SAN ROSENDO,4:54,
FEPASA,50084,Buenuraqui,9:32,
FEPASA,50083,Buenuraqui,5:13,
FEPASA,60501,Gomero,9:44,
FEPASA,50084,Gomero,9:51,
FEPASA,50083,Gomero,5:38,
FEPASA,50083,Pillanlelbún (desv.),6:01,
FEPASA,50084,Talcamávida,10:04,
FEPASA,50083,Talcamávida,6:12,
FEPASA,50084,Unihue,10:14,
FEPASA,50056,Unihue,6:28,
FEPASA,50083,Unihue,7:50,
FEPASA,50084,Quilacoya,10:27,
FEPASA,60501,Hualqui,10:43,
FEPASA,50084,Hualqui,10:58,
FEPASA,50083,Hualqui,8:14,
FEPASA,50083,Quepe,8:22,
FEPASA,60501,Leonera,11:11,
FEPASA,50084,Leonera,11:38,
FEPASA,50083,Leonera,8:38,
FEPASA,50083,Pitrufquén,8:46,
FEPASA,50084,Chiguayante,11:43,
FEPASA,50083,Chiguayante,9:08,
FEPASA,50084,CONCEPCIÓN,11:59,
FEPASA,50083,CONCEPCIÓN,9:33,
FEPASA,50056,Loncoche,10:07,
FEPASA,50083,Loncoche,10:30,
FEPASA,60501,ARENAL,12:21,
FEPASA,50083,Lanco,10:55,
FEPASA,50056,Coigüe con llega San Rosendo MARIQUINA,11:31,
FEPASA,50484,LEONERA,11:21,
FEPASA,50483,LEONERA,20:30,
FEPASA,50484,Chiguayante,11:26,
FEPASA,50483,Chiguayante,20:46,
FEPASA,50483,Cosmito,21:03,
FEPASA,50484,CONCEPCIÓN,11:42,
FEPASA,50483,CONCEPCIÓN,21:30,
FEPASA,50484,Cosmito,12:09,
FEPASA,50484,Playa Negra,12:26,
FEPASA,50483,Playa Negra,21:46,
FEPASA,50084,LIRQUÉN,12:42,
FEPASA,50083,LIRQUÉN,21:51,
FEPASA,50483,LEONERA,21:02,
FEPASA,50483,Chiguayante,21:12,
FEPASA,50084,CONCEPCIÓN,11:42,
FEPASA,50484,CONCEPCIÓN,11:49,
FEPASA,50483,CONCEPCIÓN,21:18,
FEPASA,50483,Escuadrón,21:25,
FEPASA,50484,Biobío,12:02,
FEPASA,50483,Biobío,21:35,
FEPASA,50484,Boca Sur,12:07,
FEPASA,50483,Boca Sur,21:40,
FEPASA,50484,Lomas Coloradas,12:12,
FEPASA,50483,Lomas Coloradas,21:45,
FEPASA,50484,Escuadrón,12:22,
FEPASA,50484,Lagunillas,12:28,
FEPASA,50483,Lagunillas,21:59,
FEPASA,50484,CORONEL,12:35,
FEPASA,50483,CORONEL,22:15,
FEPASA,50084,PATIO SUR,12:45,
FEPASA,50083,PATIO SUR,22:20,
FEPASA,50112,ARENAL,10:20,
FEPASA,50585,ARENAL,15:47,
FEPASA,50112,CONCEPCIÓN,10:38,
FEPASA,50585,CONCEPCIÓN,16:08,
FEPASA,50112,Chiguayante,10:52,
FEPASA,50585,Chiguayante,16:18,
FEPASA,50585,Boca Sur,16:23,
FEPASA,50084,LEONERA,10:57,
FEPASA,50585,LEONERA,16:28,
FEPASA,50585,Escuadrón,16:38,
FEPASA,50585,Lagunillas,16:44,
FEPASA,50585,CORONEL,16:51,
FEPASA,50584,PATIO SUR,17:01,
FEPASA,50089,NUEVA ALDEA,17:00,
FEPASA,50114,NUEVA ALDEA,8:30,
FEPASA,50991,NUEVA ALDEA,8:30,
FEPASA,50089,RUCAPEQUÉN,18:14,
FEPASA,50089,RUCAPEQUÉN,19:00,
FEPASA,50091,RUCAPEQUÉN,9:44,
FEPASA,50114,RUCAPEQUÉN,10:25,
FEPASA,50991,RUCAPEQUÉN,10:25,
FEPASA,50089,Bulnes,19:16,
FEPASA,50114,Bulnes,10:41,
FEPASA,50991,Bulnes,10:41,
FEPASA,50089,General Cruz,19:56,
FEPASA,50114,General Cruz,11:21,
FEPASA,50991,General Cruz,11:21,
FEPASA,50089,Cabrero,20:17,
FEPASA,50114,Cabrero,11:42,
FEPASA,50991,Cabrero,11:42,
FEPASA,50089,Monte Águila,20:30,
FEPASA,50114,Monte Águila,11:55,
FEPASA,50991,Monte Águila,11:55,
FEPASA,50089,Yumbel,20:49,
FEPASA,50114,Yumbel,12:14,
FEPASA,50991,Yumbel,12:14,
FEPASA,50089,Turquía,21:11,
FEPASA,50114,Turquía,12:36,
FEPASA,50991,Turquía,12:36,
FEPASA,50089,SAN ROSENDO,21:26,
FEPASA,50089,SAN ROSENDO,21:45,
FEPASA,50114,SAN ROSENDO,12:51,
FEPASA,50991,SAN ROSENDO,12:51,
FEPASA,50089,Buenuraqui,21:59,
FEPASA,50091,Buenuraqui,13:05,
FEPASA,50114,Buenuraqui,13:28,
FEPASA,50991,Buenuraqui,13:28,
FEPASA,50089,Gomero,22:11,
FEPASA,50091,Gomero,13:40,
FEPASA,50114,Gomero,13:44,
FEPASA,50991,Gomero,13:40,
FEPASA,50089,Talcamávida,22:24,
FEPASA,50089,Talcamávida,22:31,
FEPASA,50114,Talcamávida,13:57,
FEPASA,50091,Talcamávida,13:53,
FEPASA,50991,Talcamávida,14:04,
FEPASA,50089,Unihue,22:41,
FEPASA,50114,Unihue,14:07,
FEPASA,50991,Unihue,14:14,
FEPASA,50089,Quilacoya,22:54,
FEPASA,50091,Quilacoya,14:20,
