vehicle_id,nombre,velocidad_kmh,esfuerzo_n
engine-1,UT-CM (O),0.0,90000.0
engine-1,UT-CM (O),1.0,90000.0
engine-1,UT-CM (O),2.0,90000.0
engine-1,UT-CM (O),3.0,90000.0
engine-1,UT-CM (O),4.0,90000.0
engine-1,UT-CM (O),5.0,90000.0
engine-1,UT-CM (O),6.0,90000.0
engine-1,UT-CM (O),7.0,90000.0
engine-1,UT-CM (O),8.0,90000.0
engine-1,UT-CM (O),9.0,90000.0
engine-1,UT-CM (O),10.0,90000.0
engine-1,UT-CM (O),11.0,90000.0
engine-1,UT-CM (O),12.0,90000.0
engine-1,UT-CM (O),13.0,90000.0
engine-1,UT-CM (O),14.0,90000.0
engine-1,UT-CM (O),15.0,90000.0
engine-1,UT-CM (O),16.0,90000.0
engine-1,UT-CM (O),17.0,90000.0
engine-1,UT-CM (O),18.0,90000.0
engine-1,UT-CM (O),19.0,90000.0
engine-1,UT-CM (O),20.0,90000.0
engine-1,UT-CM (O),21.0,90000.0
engine-1,UT-CM (O),22.0,90000.0
engine-1,UT-CM (O),23.0,90000.0
engine-1,UT-CM (O),24.0,90000.0
engine-1,UT-CM (O),25.0,90000.0
engine-1,UT-CM (O),26.0,90000.0
engine-1,UT-CM (O),27.0,90000.0
engine-1,UT-CM (O),28.0,90000.0
engine-1,UT-CM (O),29.0,90000.0
engine-1,UT-CM (O),30.0,90000.0
engine-1,UT-CM (O),31.0,90000.0
engine-1,UT-CM (O),32.0,90000.0
engine-1,UT-CM (O),33.0,90000.0
engine-1,UT-CM (O),34.0,90000.0
engine-1,UT-CM (O),35.0,90000.0
engine-1,UT-CM (O),36.0,90000.0
engine-1,UT-CM (O),37.0,90000.0
engine-1,UT-CM (O),38.0,90000.0
engine-1,UT-CM (O),39.0,90000.0
engine-1,UT-CM (O),40.0,90000.0
engine-1,UT-CM (O),41.0,90000.0
engine-1,UT-CM (O),42.0,90000.0
engine-1,UT-CM (O),43.0,90000.0
engine-1,UT-CM (O),44.0,90000.0
engine-1,UT-CM (O),45.0,90000.0
engine-1,UT-CM (O),46.0,90000.0
engine-1,UT-CM (O),47.0,90000.0
engine-1,UT-CM (O),48.0,90000.0
engine-1,UT-CM (O),49.0,90000.0
engine-1,UT-CM (O),50.0,90000.0
engine-1,UT-CM (O),51.0,90000.0
engine-1,UT-CM (O),52.0,90000.0
engine-1,UT-CM (O),53.0,90000.0
engine-1,UT-CM (O),54.0,90000.0
engine-1,UT-CM (O),55.0,90000.0
engine-1,UT-CM (O),56.0,90000.0
engine-1,UT-CM (O),57.0,90000.0
engine-1,UT-CM (O),58.0,90000.0
engine-1,UT-CM (O),59.0,90000.0
engine-1,UT-CM (O),60.0,90000.0
engine-1,UT-CM (O),61.0,90000.0
engine-1,UT-CM (O),62.0,90000.0
engine-1,UT-CM (O),63.0,88000.0
engine-1,UT-CM (O),64.0,86000.0
engine-1,UT-CM (O),65.0,85000.0
engine-1,UT-CM (O),66.0,83000.0
engine-1,UT-CM (O),67.0,82000.0
engine-1,UT-CM (O),68.0,80000.0
engine-1,UT-CM (O),69.0,79000.0
engine-1,UT-CM (O),70.0,78000.0
engine-1,UT-CM (O),71.0,76000.0
engine-1,UT-CM (O),72.0,75000.0
engine-1,UT-CM (O),73.0,74000.0
engine-1,UT-CM (O),74.0,73000.0
engine-1,UT-CM (O),75.0,72000.0
engine-1,UT-CM (O),76.0,71000.0
engine-1,UT-CM (O),77.0,69000.0
engine-1,UT-CM (O),78.0,68000.0
engine-1,UT-CM (O),79.0,67000.0
engine-1,UT-CM (O),80.0,66000.0
engine-1,UT-CM (O),81.0,65000.0
engine-1,UT-CM (O),82.0,64000.0
engine-1,UT-CM (O),83.0,63000.0
engine-1,UT-CM (O),84.0,63000.0
engine-1,UT-CM (O),85.0,62000.0
engine-1,UT-CM (O),86.0,61000.0
engine-1,UT-CM (O),87.0,60000.0
engine-1,UT-CM (O),88.0,59000.0
