estacion,nombre_kml,linea,orden,lat,lon,fuente
Mercado,Mercado,L1,0,-36.7120461629798,-73.1156392806334,GIS EFE Sur (KML)
El Arenal,El Arenal,L1,1,-36.7252193787271,-73.1167466670751,GIS EFE Sur (KML)
Higueras,Hosp. Higueras,L1,2,-36.7394965152801,-73.1027546906172,GIS EFE Sur (KML)
Los Cóndores,Los Cóndores,L1,3,-36.7567019897499,-73.0917449618001,GIS EFE Sur (KML)
UTF Santa María,U.T.F.S.M.,L1,4,-36.7838653843381,-73.0857040364992,GIS EFE Sur (KML)
Lzo. Arenas,Lorenzo Arenas,L1,5,-36.8082023976088,-73.0711641973175,GIS EFE Sur (KML)
Concepción,Concepción,L1,6,-36.8300423389614,-73.0612349233622,GIS EFE Sur (KML)
Chiguayante,Chiguayante,L1,7,-36.9154033833725,-73.0289359360563,GIS EFE Sur (KML)
Pedro Medina,Pedro Medina,L1,8,-36.9257529591583,-73.0214455329034,GIS EFE Sur (KML)
Manquimávida,Manquimávida,L1,9,-36.9385715443386,-73.011372885703,GIS EFE Sur (KML)
La Leonera,La Leonera,L1,10,-36.9512952064133,-73.0131972432386,GIS EFE Sur (KML)
Hualqui,Hualqui,L1,11,-36.9805731743166,-72.9412486944554,GIS EFE Sur (KML)
Concepción,Concepción,L2,0,-36.8300423389614,-73.0612349233622,GIS EFE Sur (KML)
Juan Pablo II,J.P.II,L2,1,-36.8385144688024,-73.0978515664669,GIS EFE Sur (KML)
Diagonal Bio Bio,Diagonal Biobío,L2,2,-36.8373602003579,-73.1181432251639,GIS EFE Sur (KML)
Alborada,Alborada,L2,3,-36.8465272355964,-73.130953149416,GIS EFE Sur (KML)
Costa Mar,Costa Mar,L2,4,-36.8549482877469,-73.1330350563229,GIS EFE Sur (KML)
El Parque,El Parque,L2,5,-36.8679002610278,-73.1360577168307,GIS EFE Sur (KML)
Lomas Coloradas,Lomas Coloradas,L2,6,-36.8829017503765,-73.1396586303342,GIS EFE Sur (KML)
Cdal. Raúl Silva Henríquez,C.R.S.H,L2,7,-36.8983224007426,-73.1434272567239,GIS EFE Sur (KML)
Hito Galvarino,Hito Galvarino,L2,8,-36.9536826261477,-73.1566770015143,GIS EFE Sur (KML)
Los Canelos,Los Canelos,L2,9,-36.9802870503576,-73.1628675911201,GIS EFE Sur (KML)
Huinca,Huinca,L2,10,-36.9882284247014,-73.1632476859048,GIS EFE Sur (KML)
Cristo Redentor,Cristo Redentor,L2,11,-36.9985213045074,-73.1628174408991,GIS EFE Sur (KML)
Laguna Quiñenco,Laguna Quiñenco,L2,12,-37.0129393404745,-73.1580402218694,GIS EFE Sur (KML)
Coronel,Intermodal Coronel,L2,13,-37.0244762828648,-73.1509956753439,GIS EFE Sur (KML)
