t_min,t_s,unidad,servicio,tramo,sentido,dist_km,estado
330.0,19800,SFE 3,20281,L2,CC->CW,1.0,circulando
330.0,19800,SFE 1,,,,,cochera:CORONEL
330.0,19800,SFE 10,,,,,cochera:CORONEL
330.0,19800,SFE 11,,,,,cochera:CORONEL
330.0,19800,SFE 2,,,,,cochera:CORONEL
330.0,19800,SFE 5,,,,,cochera:CORONEL
330.0,19800,SFE 8,,,,,cochera:CORONEL
330.0,19800,SFE 9,,,,,cochera:CORONEL
330.0,19800,SFE 4,,,,,cochera:LOMAS COLORADAS
330.0,19800,SFE 6,,,,,cochera:LOMAS COLORADAS
330.0,19800,SFE 7,,,,,cochera:Cristo Redentor
330.0,19800,SFE B1,,,,,cochera:LAJA
330.0,19800,SFE B2,,,,,cochera:El Arenal
330.0,19800,UT 2,,,,,cochera:El Arenal
330.0,19800,SFE B3,,,,,cochera:HUALQUI
330.0,19800,UT 1,,,,,cochera:OMER HUET
332.0,19920,SFE 3,20281,L2,CC->CW,1.946,circulando
332.0,19920,SFE 1,,,,,cochera:CORONEL
332.0,19920,SFE 10,,,,,cochera:CORONEL
332.0,19920,SFE 11,,,,,cochera:CORONEL
332.0,19920,SFE 2,,,,,cochera:CORONEL
332.0,19920,SFE 5,,,,,cochera:CORONEL
332.0,19920,SFE 8,,,,,cochera:CORONEL
332.0,19920,SFE 9,,,,,cochera:CORONEL
332.0,19920,SFE 4,,,,,cochera:LOMAS COLORADAS
332.0,19920,SFE 6,,,,,cochera:LOMAS COLORADAS
332.0,19920,SFE 7,,,,,cochera:Cristo Redentor
332.0,19920,SFE B1,,,,,cochera:LAJA
332.0,19920,SFE B2,,,,,cochera:El Arenal
332.0,19920,UT 2,,,,,cochera:El Arenal
332.0,19920,SFE B3,,,,,cochera:HUALQUI
332.0,19920,UT 1,,,,,cochera:OMER HUET
334.0,20040,SFE 3,20281,L2,CC->CW,2.893,circulando
334.0,20040,SFE 1,,,,,cochera:CORONEL
334.0,20040,SFE 10,,,,,cochera:CORONEL
334.0,20040,SFE 11,,,,,cochera:CORONEL
334.0,20040,SFE 2,,,,,cochera:CORONEL
334.0,20040,SFE 5,,,,,cochera:CORONEL
334.0,20040,SFE 8,,,,,cochera:CORONEL
334.0,20040,SFE 9,,,,,cochera:CORONEL
334.0,20040,SFE 4,,,,,cochera:LOMAS COLORADAS
334.0,20040,SFE 6,,,,,cochera:LOMAS COLORADAS
334.0,20040,SFE 7,,,,,cochera:Cristo Redentor
334.0,20040,SFE B1,,,,,cochera:LAJA
