linea,sentido,servicio,unidad,orden,estacion,dist_km,llegada_min,salida_min
L1,LJ->TH,20842,SFE B1,0,LAJA,80.416,398.0,398.0
L1,LJ->TH,20842,SFE B1,1,SAN ROSENDO,77.816,404.0,405.0
L1,LJ->TH,20842,SFE B1,2,BUENURAQUI,74.416,416.0,417.0
L1,LJ->TH,20842,SFE B1,3,GOMERO,67.416,428.0,429.0
L1,LJ->TH,20842,SFE B1,4,TALCAMÁVIDA,59.916,441.0,442.0
L1,LJ->TH,20842,SFE B1,5,Los Acacios,55.516,445.0,446.0
L1,LJ->TH,20842,SFE B1,6,Valle Chanco,54.416,449.0,450.0
L1,LJ->TH,20842,SFE B1,7,UNIHUE,53.316,454.0,455.0
L1,LJ->TH,20842,SFE B1,8,San Miguel,50.436,461.0,462.0
L1,LJ->TH,20842,SFE B1,9,QUILACOYA,46.116,465.0,466.0
L1,LJ->TH,20842,SFE B1,10,HUALQUI,35.816,479.0,480.0
L1,LJ->TH,20842,SFE B1,11,OMER HUET,30.908,486.0,486.0
L1,LJ->TH,20842,SFE B1,12,LA LEONERA,28.643,489.0,490.0
L1,LJ->TH,20842,SFE B1,13,Manquimávida,27.219,492.0,493.0
L1,LJ->TH,20842,SFE B1,14,Pedro Medina,25.536,495.0,496.0
L1,LJ->TH,20842,SFE B1,15,CHIGUAYANTE,24.206,498.0,499.0
L1,LJ->TH,20842,SFE B1,16,CONCEPCIÓN,14.289,508.0,512.0
L1,LJ->TH,20842,SFE B1,17,Lorenzo Arenas,11.705,517.0,518.0
L1,LJ->TH,20842,SFE B1,18,UTF Santa María,8.705,521.0,522.0
L1,LJ->TH,20842,SFE B1,19,Los Cóndores,5.637,525.0,526.0
L1,LJ->TH,20842,SFE B1,20,Hospital Las Higueras,3.487,528.0,529.0
L1,LJ->TH,20842,SFE B1,21,El Arenal,1.468,530.0,530.0
L1,LJ->TH,20842,SFE B1,22,Mercado,0.0,533.0,533.0
L1,LJ->TH,20844,SFE B2,0,LAJA,80.416,655.0,655.0
L1,LJ->TH,20844,SFE B2,1,SAN ROSENDO,77.816,661.0,662.0
L1,LJ->TH,20844,SFE B2,2,BUENURAQUI,74.416,673.0,674.0
L1,LJ->TH,20844,SFE B2,3,GOMERO,67.416,685.0,686.0
L1,LJ->TH,20844,SFE B2,4,TALCAMÁVIDA,59.916,698.0,699.0
L1,LJ->TH,20844,SFE B2,5,Los Acacios,55.516,702.0,703.0
L1,LJ->TH,20844,SFE B2,6,Valle Chanco,54.416,706.0,707.0
L1,LJ->TH,20844,SFE B2,7,UNIHUE,53.316,711.0,712.0
L1,LJ->TH,20844,SFE B2,8,San Miguel,50.436,718.0,719.0
L1,LJ->TH,20844,SFE B2,9,QUILACOYA,46.116,722.0,723.0
L1,LJ->TH,20844,SFE B2,10,HUALQUI,35.816,736.0,737.0
L1,LJ->TH,20844,SFE B2,11,OMER HUET,30.908,743.0,743.0
L1,LJ->TH,20844,SFE B2,12,LA LEONERA,28.643,746.0,747.0
L1,LJ->TH,20844,SFE B2,13,Manquimávida,27.219,749.0,750.0
L1,LJ->TH,20844,SFE B2,14,Pedro Medina,25.536,752.0,753.0
L1,LJ->TH,20844,SFE B2,15,CHIGUAYANTE,24.206,755.0,756.0
L1,LJ->TH,20844,SFE B2,16,CONCEPCIÓN,14.289,765.0,769.0
L1,LJ->TH,20844,SFE B2,17,Lorenzo Arenas,11.705,774.0,775.0
L1,LJ->TH,20844,SFE B2,18,UTF Santa María,8.705,778.0,779.0
L1,LJ->TH,20844,SFE B2,19,Los Cóndores,5.637,782.0,783.0
L1,LJ->TH,20844,SFE B2,20,Hospital Las Higueras,3.487,785.0,786.0
L1,LJ->TH,20844,SFE B2,21,El Arenal,1.468,787.0,787.0
L1,LJ->TH,20844,SFE B2,22,Mercado,0.0,790.0,790.0
L1,LJ->TH,20856,SFE B3,0,LAJA,80.416,855.0,855.0
L1,LJ->TH,20856,SFE B3,1,SAN ROSENDO,77.816,861.0,862.0
L1,LJ->TH,20856,SFE B3,2,BUENURAQUI,74.416,873.0,874.0
L1,LJ->TH,20856,SFE B3,3,GOMERO,67.416,885.0,886.0
L1,LJ->TH,20856,SFE B3,4,TALCAMÁVIDA,59.916,898.0,899.0
L1,LJ->TH,20856,SFE B3,5,Los Acacios,55.516,902.0,903.0
L1,LJ->TH,20856,SFE B3,6,Valle Chanco,54.416,906.0,907.0
L1,LJ->TH,20856,SFE B3,7,UNIHUE,53.316,911.0,912.0
L1,LJ->TH,20856,SFE B3,8,San Miguel,50.436,918.0,919.0
L1,LJ->TH,20856,SFE B3,9,QUILACOYA,46.116,922.0,923.0
L1,LJ->TH,20856,SFE B3,10,HUALQUI,35.816,936.0,937.0
L1,LJ->TH,20856,SFE B3,11,OMER HUET,30.908,943.0,943.0
L1,LJ->TH,20856,SFE B3,12,LA LEONERA,28.643,946.0,947.0
L1,LJ->TH,20856,SFE B3,13,Manquimávida,27.219,949.0,950.0
L1,LJ->TH,20856,SFE B3,14,Pedro Medina,25.536,952.0,953.0
L1,LJ->TH,20856,SFE B3,15,CHIGUAYANTE,24.206,955.0,956.0
L1,LJ->TH,20856,SFE B3,16,CONCEPCIÓN,14.289,965.0,969.0
L1,LJ->TH,20856,SFE B3,17,Lorenzo Arenas,11.705,974.0,975.0
L1,LJ->TH,20856,SFE B3,18,UTF Santa María,8.705,978.0,979.0
L1,LJ->TH,20856,SFE B3,19,Los Cóndores,5.637,982.0,983.0
L1,LJ->TH,20856,SFE B3,20,Hospital Las Higueras,3.487,985.0,986.0
L1,LJ->TH,20856,SFE B3,21,El Arenal,1.468,987.0,987.0
L1,LJ->TH,20856,SFE B3,22,Mercado,0.0,990.0,990.0
L1,LJ->TH,20862,SFE B1,0,LAJA,80.416,1230.0,1230.0
L1,LJ->TH,20862,SFE B1,1,SAN ROSENDO,77.816,1236.0,1237.0
L1,LJ->TH,20862,SFE B1,2,BUENURAQUI,74.416,1248.0,1249.0
L1,LJ->TH,20862,SFE B1,3,GOMERO,67.416,1260.0,1261.0
L1,LJ->TH,20862,SFE B1,4,TALCAMÁVIDA,59.916,1273.0,1274.0
L1,LJ->TH,20862,SFE B1,5,Los Acacios,55.516,1277.0,1278.0
L1,LJ->TH,20862,SFE B1,6,Valle Chanco,54.416,1281.0,1282.0
L1,LJ->TH,20862,SFE B1,7,UNIHUE,53.316,1286.0,1287.0
L1,LJ->TH,20862,SFE B1,8,San Miguel,50.436,1293.0,1294.0
L1,LJ->TH,20862,SFE B1,9,QUILACOYA,46.116,1297.0,1298.0
L1,LJ->TH,20862,SFE B1,10,HUALQUI,35.816,1311.0,1312.0
L1,LJ->TH,20862,SFE B1,11,OMER HUET,30.908,1318.0,1318.0
L1,LJ->TH,20862,SFE B1,12,LA LEONERA,28.643,1321.0,1322.0
L1,LJ->TH,20862,SFE B1,13,Manquimávida,27.219,1324.0,1325.0
L1,LJ->TH,20862,SFE B1,14,Pedro Medina,25.536,1327.0,1328.0
L1,LJ->TH,20862,SFE B1,15,CHIGUAYANTE,24.206,1330.0,1331.0
L1,LJ->TH,20862,SFE B1,16,CONCEPCIÓN,14.289,1340.0,1344.0
L1,LJ->TH,20862,SFE B1,17,Lorenzo Arenas,11.705,1349.0,1350.0
L1,LJ->TH,20862,SFE B1,18,UTF Santa María,8.705,1353.0,1354.0
L1,LJ->TH,20862,SFE B1,19,Los Cóndores,5.637,1357.0,1358.0
L1,LJ->TH,20862,SFE B1,20,Hospital Las Higueras,3.487,1360.0,1361.0
L1,LJ->TH,20862,SFE B1,21,El Arenal,1.468,1362.0,1362.0
