document,line,track,edge_name,edge_id,edge_length_m,v1_id,v2_id,v1_name,v2_name,v1_km,v2_km,v1_sig,v2_sig,v1_switch_time,v2_switch_time,v1_stat_id,v2_stat_id,speed_1_1,speed_1_2,speed_1_3,speed_1_4,speed_2_1,speed_2_2,speed_2_3,speed_2_4,gradient_permil,curve_radius_m,vmax_kmh
K05-CC,,,,3223,43.0,3162,3140,,,67.294,67.337,,,,,,,80.0,65.0,84.0,68.0,100.0,65.0,105.0,68.0,-1.14,562.0,105.0
K05-CC,,,,3224,52.0,3142,3168,,,67.337,67.389,,,,,,,80.0,65.0,84.0,68.0,100.0,65.0,105.0,68.0,-1.14,,105.0
K05-CC,,,,3225,43.0,3158,3136,,,67.294,67.337,,,,,,,80.0,65.0,84.0,68.0,100.0,65.0,105.0,68.0,-1.14,562.0,105.0
K05-CC,,,,3226,52.0,3138,3164,,,67.337,67.389,,,,,,,80.0,65.0,84.0,68.0,100.0,65.0,105.0,68.0,-1.14,,105.0
K05-CC,,,,3227,238.0,3134,3160,,,67.056,67.294,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.14,562.0,84.0
K05-CC,,,,3228,238.0,3130,3156,,,67.056,67.294,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.14,562.0,84.0
K05-CC,,,,3229,198.0,3126,3132,,,66.858,67.056,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.14,313.0,84.0
K05-CC,,,,3230,198.0,3122,3128,,,66.858,67.056,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.14,313.0,84.0
K05-CC,,,,3233,163.0,3110,3116,,,66.6,66.763,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.14,391.0,84.0
K05-CC,,,,3234,163.0,3106,3112,,,66.6,66.763,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.14,391.0,84.0
K05-CC,,,,3237,56.0,3094,3100,,,66.429,66.485,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.14,,84.0
K05-CC,,,,3238,56.0,3090,3096,,,66.429,66.485,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.14,,84.0
K05-CC,,,,3241,158.0,3078,3084,,,66.045,66.203,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.14,400.0,84.0
K05-CC,,,,3242,158.0,3074,3080,,,66.045,66.203,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.14,400.0,84.0
K05-CC,,,,3247,212.0,3054,3060,,,65.303,65.515,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,0.0,450.0,84.0
K05-CC,,,,3248,212.0,3050,3056,,,65.303,65.515,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,0.0,450.0,84.0
K05-CC,,,,3249,181.0,3215,3044,,,65.1,65.281,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.74,298.0,84.0
K05-CC,,,,3250,181.0,3219,3040,,,65.1,65.281,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.74,298.0,84.0
K05-CC,,,,3251,141.0,3070,3036,,,65.759,65.9,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,0.0,483.0,84.0
K05-CC,,,,3252,145.0,3038,3076,,,65.9,66.045,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.14,483.0,84.0
K05-CC,,,,3253,141.0,3066,3032,,,65.759,65.9,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,0.0,483.0,84.0
K05-CC,,,,3254,145.0,3034,3072,,,65.9,66.045,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.14,483.0,84.0
K05-CC,,,,3255,19.0,3046,3028,,,65.281,65.3,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.74,,84.0
K05-CC,,,,3256,3.0,3030,3052,,,65.3,65.303,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,0.0,,84.0
K05-CC,,,,3257,19.0,3042,3024,,,65.281,65.3,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.74,,84.0
K05-CC,,,,3258,3.0,3026,3048,,,65.3,65.303,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,0.0,,84.0
K05-CC,,,,3532,112.0,3086,3526,,,66.203,66.315,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.14,356.0,84.0
K05-CC,,,,3533,114.0,3527,3092,,,66.315,66.429,,,,,,,80.0,65.0,84.0,68.0,70.0,65.0,74.0,68.0,-1.14,356.0,84.0
