tramo,sentido,estacion,t_viaje_s,t_viaje_ext_s,detencion_s
L2,CC->CW,Juan Pablo II,340,390.0,30.0
L2,CC->CW,Diagonal Bio Bio,145,150.0,20.0
L2,CC->CW,Alborada,150,165.0,20.0
L2,CC->CW,Costa Mar,95,105.0,25.0
L2,CC->CW,El Parque,135,145.0,20.0
L2,CC->CW,LOMAS COLORADAS,145,155.0,30.0
L2,CC->CW,Card. Raúl Silva Henriquez,155,170.0,20.0
L2,CC->CW,Hito Galvarino,350,365.0,20.0
L2,CC->CW,Los Canelos,220,230.0,20.0
L2,CC->CW,Huinca,100,110.0,20.0
L2,CC->CW,Cristo Redentor,120,130.0,20.0
L2,CC->CW,Laguna Quiñenco,150,160.0,20.0
L2,CC->CW,CORONEL,150,160.0,
L2,CW->CC,Laguna Quiñenco,145,160.0,20.0
L2,CW->CC,Cristo Redentor,145,160.0,20.0
L2,CW->CC,Huinca,120,130.0,20.0
L2,CW->CC,Los Canelos,100,110.0,20.0
L2,CW->CC,Hito Galvarino,220,230.0,20.0
L2,CW->CC,Card. Raúl Silva Henriquez,350,365.0,20.0
L2,CW->CC,LOMAS COLORADAS,155,170.0,30.0
L2,CW->CC,El Parque,145,155.0,20.0
L2,CW->CC,Costa Mar,135,145.0,25.0
L2,CW->CC,Alborada,100,105.0,20.0
L2,CW->CC,Diagonal Bio Bio,150,165.0,20.0
L2,CW->CC,Juan Pablo II,145,150.0,30.0
L2,CW->CC,CONCEPCIÓN,345,390.0,
L1,LJ->TH,SAN ROSENDO,360,,60.0
L1,LJ->TH,BUENURAQUI,660,,60.0
L1,LJ->TH,GOMERO,660,,60.0
L1,LJ->TH,TALCAMÁVIDA,720,,60.0
L1,LJ->TH,Los Acacios,180,,60.0
L1,LJ->TH,Valle Chanco,180,,60.0
L1,LJ->TH,UNIHUE,240,,60.0
L1,LJ->TH,San Miguel,360,,60.0
L1,LJ->TH,QUILACOYA,180,,60.0
L1,LJ->TH,HUALQUI,780,,60.0
L1,LJ->TH,OMER HUET,360,,
L1,LJ->TH,LA LEONERA,180,,60.0
L1,LJ->TH,Manquimávida,120,,60.0
L1,LJ->TH,Pedro Medina,120,,60.0
L1,LJ->TH,CHIGUAYANTE,120,,60.0
L1,LJ->TH,CONCEPCIÓN,540,,240.0
L1,LJ->TH,Lorenzo Arenas,300,,60.0
L1,LJ->TH,UTF Santa María,180,,60.0
L1,LJ->TH,Los Cóndores,180,,60.0
L1,LJ->TH,Hospital Las Higueras,120,,60.0
L1,LJ->TH,EL ARENAL,180,,60.0
L1,LJ->TH,Mercado,180,,
L1,TH->LJ,EL ARENAL,180,,60.0
L1,TH->LJ,Hospital Las Higueras,180,,60.0
L1,TH->LJ,Los Cóndores,120,,60.0
L1,TH->LJ,UTF Santa María,180,,60.0
L1,TH->LJ,Lorenzo Arenas,180,,60.0
L1,TH->LJ,CONCEPCIÓN,300,,240.0
L1,TH->LJ,CHIGUAYANTE,540,,60.0
L1,TH->LJ,Pedro Medina,120,,60.0
L1,TH->LJ,Manquimávida,120,,60.0
L1,TH->LJ,LA LEONERA,120,,60.0
L1,TH->LJ,OMER HUET,180,,
L1,TH->LJ,HUALQUI,360,,60.0
L1,TH->LJ,QUILACOYA,780,,60.0
L1,TH->LJ,San Miguel,180,,60.0
L1,TH->LJ,UNIHUE,360,,60.0
L1,TH->LJ,Valle Chanco,240,,60.0
L1,TH->LJ,Los Acacios,180,,60.0
L1,TH->LJ,TALCAMÁVIDA,180,,60.0
L1,TH->LJ,GOMERO,720,,60.0
L1,TH->LJ,BUENURAQUI,660,,60.0
L1,TH->LJ,SAN ROSENDO,660,,60.0
L1,TH->LJ,LAJA,360,,
