linea,tren_id,sentido,estacion,dist_km,hora_min
L2,L2-CC->CW-1,CC->CW,CONCEPCIÓN,0.0,300.0
L2,L2-CC->CW-1,CC->CW,Juan Pablo II,3.838,305.67
L2,L2-CC->CW-1,CC->CW,Diagonal Bio Bio,5.569,308.08
L2,L2-CC->CW-1,CC->CW,Alborada,7.442,310.58
L2,L2-CC->CW-1,CC->CW,Costa Mar,8.339,312.17
L2,L2-CC->CW-1,CC->CW,El Parque,9.614,314.42
L2,L2-CC->CW-1,CC->CW,LOMAS COLORADAS,10.983,316.83
L2,L2-CC->CW-1,CC->CW,Card. Raúl Silva Henriquez,13.151,319.42
L2,L2-CC->CW-1,CC->CW,Hito Galvarino,18.048,325.25
L2,L2-CC->CW-1,CC->CW,Los Canelos,21.125,328.92
L2,L2-CC->CW-1,CC->CW,Huinca,22.524,330.58
L2,L2-CC->CW-1,CC->CW,Cristo Redentor,24.203,332.58
L2,L2-CC->CW-1,CC->CW,Laguna Quiñenco,26.302,335.08
L2,L2-CC->CW-1,CC->CW,CORONEL,28.4,337.58
L2,L2-CC->CW-2,CC->CW,CONCEPCIÓN,0.0,315.0
L2,L2-CC->CW-2,CC->CW,Juan Pablo II,3.838,320.67
L2,L2-CC->CW-2,CC->CW,Diagonal Bio Bio,5.569,323.08
L2,L2-CC->CW-2,CC->CW,Alborada,7.442,325.58
L2,L2-CC->CW-2,CC->CW,Costa Mar,8.339,327.17
L2,L2-CC->CW-2,CC->CW,El Parque,9.614,329.42
L2,L2-CC->CW-2,CC->CW,LOMAS COLORADAS,10.983,331.83
L2,L2-CC->CW-2,CC->CW,Card. Raúl Silva Henriquez,13.151,334.42
L2,L2-CC->CW-2,CC->CW,Hito Galvarino,18.048,340.25
L2,L2-CC->CW-2,CC->CW,Los Canelos,21.125,343.92
L2,L2-CC->CW-2,CC->CW,Huinca,22.524,345.58
L2,L2-CC->CW-2,CC->CW,Cristo Redentor,24.203,347.58
L2,L2-CC->CW-2,CC->CW,Laguna Quiñenco,26.302,350.08
L2,L2-CC->CW-2,CC->CW,CORONEL,28.4,352.58
L2,L2-CC->CW-3,CC->CW,CONCEPCIÓN,0.0,330.0
L2,L2-CC->CW-3,CC->CW,Juan Pablo II,3.838,335.67
L2,L2-CC->CW-3,CC->CW,Diagonal Bio Bio,5.569,338.08
L2,L2-CC->CW-3,CC->CW,Alborada,7.442,340.58
L2,L2-CC->CW-3,CC->CW,Costa Mar,8.339,342.17
L2,L2-CC->CW-3,CC->CW,El Parque,9.614,344.42
L2,L2-CC->CW-3,CC->CW,LOMAS COLORADAS,10.983,346.83
L2,L2-CC->CW-3,CC->CW,Card. Raúl Silva Henriquez,13.151,349.42
L2,L2-CC->CW-3,CC->CW,Hito Galvarino,18.048,355.25
L2,L2-CC->CW-3,CC->CW,Los Canelos,21.125,358.92
L2,L2-CC->CW-3,CC->CW,Huinca,22.524,360.58
L2,L2-CC->CW-3,CC->CW,Cristo Redentor,24.203,362.58
