linea,tren_id,sentido,unidad,equipo_vacio,estacion,dist_km,hora_min
L1,L1-LJ->TH-20205,LJ->TH,UT 2,True,Mercado,84.778,416.0
L1,L1-LJ->TH-20207,LJ->TH,SFE B2,True,LA LEONERA,55.32,389.0
L1,L1-LJ->TH-20207,LJ->TH,SFE B2,True,Manquimávida,56.983,392.0
L1,L1-LJ->TH-20207,LJ->TH,SFE B2,True,Pedro Medina,58.647,395.0
L1,L1-LJ->TH-20207,LJ->TH,SFE B2,True,CHIGUAYANTE,60.31,398.0
L1,L1-LJ->TH-20207,LJ->TH,SFE B2,True,Mercado,84.778,444.0
L1,L1-LJ->TH-20219,LJ->TH,UT 1,True,LA LEONERA,55.32,564.0
L1,L1-LJ->TH-20219,LJ->TH,UT 1,True,Manquimávida,56.983,567.0
L1,L1-LJ->TH-20219,LJ->TH,UT 1,True,Pedro Medina,58.647,570.0
L1,L1-LJ->TH-20219,LJ->TH,UT 1,True,CHIGUAYANTE,60.31,573.0
L1,L1-LJ->TH-20219,LJ->TH,UT 1,True,Mercado,84.778,611.0
L1,L1-LJ->TH-20229,LJ->TH,SFE B1,True,OMER HUET,53.21,693.0
L1,L1-LJ->TH-20231,LJ->TH,UT 2,True,HUALQUI,46.917,682.0
L1,L1-LJ->TH-20231,LJ->TH,UT 2,True,LA LEONERA,55.32,709.0
L1,L1-LJ->TH-20231,LJ->TH,UT 2,True,Manquimávida,56.983,712.0
L1,L1-LJ->TH-20231,LJ->TH,UT 2,True,Pedro Medina,58.647,715.0
L1,L1-LJ->TH-20231,LJ->TH,UT 2,True,CHIGUAYANTE,60.31,718.0
L1,L1-LJ->TH-20231,LJ->TH,UT 2,True,CONCEPCIÓN,68.521,728.0
L1,L1-LJ->TH-20231,LJ->TH,UT 2,True,Lorenzo Arenas,72.878,738.0
L1,L1-LJ->TH-20231,LJ->TH,UT 2,True,UTF Santa María,76.06,742.0
L1,L1-LJ->TH-20231,LJ->TH,UT 2,True,Los Cóndores,79.215,746.0
L1,L1-LJ->TH-20231,LJ->TH,UT 2,True,Hospital Las Higueras,81.36,749.0
L1,L1-LJ->TH-20231,LJ->TH,UT 2,True,Mercado,84.778,757.0
L1,L1-LJ->TH-20239,LJ->TH,UT 1,True,Mercado,84.778,928.0
L1,L1-LJ->TH-20241,LJ->TH,SFE B2,True,Mercado,84.778,958.0
L1,L1-LJ->TH-20243,LJ->TH,SFE 11,True,HUALQUI,46.917,936.0
L1,L1-LJ->TH-20243,LJ->TH,SFE 11,True,LA LEONERA,55.32,946.0
L1,L1-LJ->TH-20243,LJ->TH,SFE 11,True,Manquimávida,56.983,949.0
L1,L1-LJ->TH-20243,LJ->TH,SFE 11,True,Pedro Medina,58.647,952.0
L1,L1-LJ->TH-20243,LJ->TH,SFE 11,True,CHIGUAYANTE,60.31,955.0
L1,L1-LJ->TH-20243,LJ->TH,SFE 11,True,CONCEPCIÓN,68.521,965.0
L1,L1-LJ->TH-20243,LJ->TH,SFE 11,True,Lorenzo Arenas,72.878,974.0
L1,L1-LJ->TH-20243,LJ->TH,SFE 11,True,UTF Santa María,76.06,978.0
L1,L1-LJ->TH-20243,LJ->TH,SFE 11,True,Los Cóndores,79.215,982.0
L1,L1-LJ->TH-20243,LJ->TH,SFE 11,True,Hospital Las Higueras,81.36,985.0
L1,L1-LJ->TH-20243,LJ->TH,SFE 11,True,Mercado,84.778,993.0
L1,L1-LJ->TH-20261,LJ->TH,SFE B3,True,LA LEONERA,55.32,1209.0
L1,L1-LJ->TH-20261,LJ->TH,SFE B3,True,Manquimávida,56.983,1212.0
L1,L1-LJ->TH-20261,LJ->TH,SFE B3,True,Pedro Medina,58.647,1215.0
L1,L1-LJ->TH-20261,LJ->TH,SFE B3,True,CHIGUAYANTE,60.31,1218.0
L1,L1-LJ->TH-20261,LJ->TH,SFE B3,True,Lorenzo Arenas,72.878,1248.0
L1,L1-LJ->TH-20261,LJ->TH,SFE B3,True,UTF Santa María,76.06,1252.0
L1,L1-LJ->TH-20261,LJ->TH,SFE B3,True,Los Cóndores,79.215,1256.0
L1,L1-LJ->TH-20261,LJ->TH,SFE B3,True,Hospital Las Higueras,81.36,1259.0
L1,L1-LJ->TH-20261,LJ->TH,SFE B3,True,Mercado,84.778,1267.0
L1,L1-LJ->TH-20269,LJ->TH,SFE 6,True,TALCAMÁVIDA,22.798,1273.0
L1,L1-LJ->TH-20269,LJ->TH,SFE 6,True,HUALQUI,46.917,1270.0
L1,L1-LJ->TH-20269,LJ->TH,SFE 6,True,HUALQUI,46.917,1311.0
L1,L1-LJ->TH-20269,LJ->TH,SFE 6,True,OMER HUET,53.21,1276.0
