linea,tren_id,sentido,unidad,estacion,dist_km,hora_min
L2,L2-CC->CW-20281,CC->CW,SFE 3,CONCEPCIÓN,0.0,330.0
L2,L2-CC->CW-20281,CC->CW,SFE 3,Juan Pablo II,3.838,335.67
L2,L2-CC->CW-20281,CC->CW,SFE 3,Juan Pablo II,3.838,336.17
L2,L2-CC->CW-20281,CC->CW,SFE 3,Diagonal Bio Bio,5.569,338.58
L2,L2-CC->CW-20281,CC->CW,SFE 3,Diagonal Bio Bio,5.569,338.92
L2,L2-CC->CW-20281,CC->CW,SFE 3,Alborada,7.442,341.42
L2,L2-CC->CW-20281,CC->CW,SFE 3,Alborada,7.442,341.75
L2,L2-CC->CW-20281,CC->CW,SFE 3,Costa Mar,8.339,343.33
L2,L2-CC->CW-20281,CC->CW,SFE 3,Costa Mar,8.339,343.75
L2,L2-CC->CW-20281,CC->CW,SFE 3,El Parque,9.614,346.0
L2,L2-CC->CW-20281,CC->CW,SFE 3,El Parque,9.614,346.33
L2,L2-CC->CW-20281,CC->CW,SFE 3,LOMAS COLORADAS,10.983,348.75
L2,L2-CC->CW-20281,CC->CW,SFE 3,LOMAS COLORADAS,10.983,349.25
L2,L2-CC->CW-20281,CC->CW,SFE 3,Card. Raúl Silva Henriquez,13.151,351.83
L2,L2-CC->CW-20281,CC->CW,SFE 3,Card. Raúl Silva Henriquez,13.151,352.17
L2,L2-CC->CW-20281,CC->CW,SFE 3,Hito Galvarino,18.048,358.0
L2,L2-CC->CW-20281,CC->CW,SFE 3,Hito Galvarino,18.048,358.33
L2,L2-CC->CW-20281,CC->CW,SFE 3,Los Canelos,21.125,362.0
L2,L2-CC->CW-20281,CC->CW,SFE 3,Los Canelos,21.125,362.33
L2,L2-CC->CW-20281,CC->CW,SFE 3,Huinca,22.524,364.0
L2,L2-CC->CW-20281,CC->CW,SFE 3,Huinca,22.524,364.33
L2,L2-CC->CW-20281,CC->CW,SFE 3,Cristo Redentor,24.203,366.33
L2,L2-CC->CW-20281,CC->CW,SFE 3,Cristo Redentor,24.203,366.67
L2,L2-CC->CW-20281,CC->CW,SFE 3,Laguna Quiñenco,26.302,369.17
L2,L2-CC->CW-20281,CC->CW,SFE 3,Laguna Quiñenco,26.302,369.5
L2,L2-CC->CW-20281,CC->CW,SFE 3,CORONEL,28.4,372.0
L2,L2-CW->CC-20281,CW->CC,,CORONEL,28.4,369.0
L2,L2-CW->CC-20281,CW->CC,,Laguna Quiñenco,26.302,371.42
L2,L2-CW->CC-20281,CW->CC,,Laguna Quiñenco,26.302,371.75
L2,L2-CW->CC-20281,CW->CC,,Cristo Redentor,24.203,374.17
L2,L2-CW->CC-20281,CW->CC,,Cristo Redentor,24.203,374.5
L2,L2-CW->CC-20281,CW->CC,,Huinca,22.524,376.5
L2,L2-CW->CC-20281,CW->CC,,Huinca,22.524,376.83
L2,L2-CW->CC-20281,CW->CC,,Los Canelos,21.125,378.5
L2,L2-CW->CC-20281,CW->CC,,Los Canelos,21.125,378.83
L2,L2-CW->CC-20281,CW->CC,,Hito Galvarino,18.048,382.5
L2,L2-CW->CC-20281,CW->CC,,Hito Galvarino,18.048,382.83
L2,L2-CW->CC-20281,CW->CC,,Card. Raúl Silva Henriquez,13.151,388.67
L2,L2-CW->CC-20281,CW->CC,,Card. Raúl Silva Henriquez,13.151,389.0
L2,L2-CW->CC-20281,CW->CC,,LOMAS COLORADAS,10.983,391.58
L2,L2-CW->CC-20281,CW->CC,,LOMAS COLORADAS,10.983,392.08
L2,L2-CW->CC-20281,CW->CC,,El Parque,9.614,394.5
L2,L2-CW->CC-20281,CW->CC,,El Parque,9.614,394.83
L2,L2-CW->CC-20281,CW->CC,,Costa Mar,8.339,397.08
L2,L2-CW->CC-20281,CW->CC,,Costa Mar,8.339,397.5
L2,L2-CW->CC-20281,CW->CC,,Alborada,7.442,399.17
L2,L2-CW->CC-20281,CW->CC,,Alborada,7.442,399.5
L2,L2-CW->CC-20281,CW->CC,,Diagonal Bio Bio,5.569,402.0
L2,L2-CW->CC-20281,CW->CC,,Diagonal Bio Bio,5.569,402.33
L2,L2-CW->CC-20281,CW->CC,,Juan Pablo II,3.838,404.75
L2,L2-CW->CC-20281,CW->CC,,Juan Pablo II,3.838,405.25
L2,L2-CW->CC-20281,CW->CC,,CONCEPCIÓN,0.0,411.0
L2,L2-CC->CW-20001,CC->CW,SFE 1,CONCEPCIÓN,0.0,405.0
L2,L2-CC->CW-20001,CC->CW,SFE 1,CONCEPCIÓN,0.0,412.5
L2,L2-CC->CW-20001,CC->CW,SFE 1,Juan Pablo II,3.838,418.17
L2,L2-CC->CW-20001,CC->CW,SFE 1,Juan Pablo II,3.838,418.67
L2,L2-CC->CW-20001,CC->CW,SFE 1,Diagonal Bio Bio,5.569,421.08
L2,L2-CC->CW-20001,CC->CW,SFE 1,Diagonal Bio Bio,5.569,421.42
L2,L2-CC->CW-20001,CC->CW,SFE 1,Alborada,7.442,423.92
L2,L2-CC->CW-20001,CC->CW,SFE 1,Alborada,7.442,424.25
L2,L2-CC->CW-20001,CC->CW,SFE 1,Costa Mar,8.339,425.83
