origen,destino,franja,viajes
Hualqui,La Leonera,05-10,8.0
Hualqui,Manquimávida,05-10,21.0
Hualqui,Pedro Medina,05-10,25.0
Hualqui,Chiguayante,05-10,23.0
Hualqui,Concepción,05-10,241.0
Hualqui,Mall,05-10,18.0
Hualqui,Lzo. Arenas,05-10,20.0
Hualqui,UTF Santa María,05-10,37.0
Hualqui,Los Cóndores,05-10,17.0
Hualqui,Higueras,05-10,24.0
Hualqui,El Arenal,05-10,13.0
Hualqui,Mercado,05-10,15.0
Hualqui,Juan Pablo II,05-10,18.0
Hualqui,Diagonal Bio Bio,05-10,4.0
Hualqui,Alborada,05-10,2.0
Hualqui,Costa Mar,05-10,6.0
Hualqui,El Parque,05-10,10.0
Hualqui,Lomas Coloradas,05-10,4.0
Hualqui,Cdal. Raúl Silva Henríquez,05-10,1.0
Hualqui,Hito Galvarino,05-10,4.0
Hualqui,Los Canelos,05-10,9.0
Hualqui,Huinca,05-10,3.0
Hualqui,Coronel,05-10,1.0
La Leonera,Hualqui,05-10,4.0
La Leonera,Manquimávida,05-10,5.0
La Leonera,Pedro Medina,05-10,4.0
La Leonera,Chiguayante,05-10,4.0
La Leonera,Concepción,05-10,132.0
La Leonera,Mall,05-10,13.0
La Leonera,Lzo. Arenas,05-10,18.0
La Leonera,UTF Santa María,05-10,32.0
La Leonera,Los Cóndores,05-10,22.0
La Leonera,Higueras,05-10,21.0
La Leonera,El Arenal,05-10,15.0
La Leonera,Mercado,05-10,13.0
La Leonera,Juan Pablo II,05-10,25.0
La Leonera,Diagonal Bio Bio,05-10,11.0
La Leonera,Alborada,05-10,5.0
La Leonera,Costa Mar,05-10,2.0
La Leonera,El Parque,05-10,22.0
La Leonera,Lomas Coloradas,05-10,15.0
La Leonera,Cdal. Raúl Silva Henríquez,05-10,3.0
La Leonera,Hito Galvarino,05-10,6.0
La Leonera,Los Canelos,05-10,3.0
La Leonera,Huinca,05-10,2.0
La Leonera,Cristo Redentor,05-10,3.0
La Leonera,Laguna Quiñenco,05-10,3.0
La Leonera,Coronel,05-10,5.0
Manquimávida,Hualqui,05-10,2.0
Manquimávida,La Leonera,05-10,2.0
Manquimávida,Manquimávida,05-10,2.0
Manquimávida,Pedro Medina,05-10,5.0
Manquimávida,Chiguayante,05-10,8.0
Manquimávida,Concepción,05-10,157.0
Manquimávida,Mall,05-10,14.0
Manquimávida,Lzo. Arenas,05-10,26.0
Manquimávida,UTF Santa María,05-10,25.0
Manquimávida,Los Cóndores,05-10,11.0
Manquimávida,Higueras,05-10,17.0
Manquimávida,El Arenal,05-10,8.0
Manquimávida,Mercado,05-10,15.0
Manquimávida,Juan Pablo II,05-10,19.0
Manquimávida,Diagonal Bio Bio,05-10,6.0
Manquimávida,Alborada,05-10,2.0
Manquimávida,Costa Mar,05-10,2.0
Manquimávida,El Parque,05-10,5.0
Manquimávida,Lomas Coloradas,05-10,4.0
Manquimávida,Cdal. Raúl Silva Henríquez,05-10,1.0
Manquimávida,Hito Galvarino,05-10,3.0
Manquimávida,Los Canelos,05-10,4.0
Manquimávida,Huinca,05-10,3.0
Manquimávida,Laguna Quiñenco,05-10,1.0
Manquimávida,Coronel,05-10,8.0
Pedro Medina,Hualqui,05-10,1.0
Pedro Medina,Manquimávida,05-10,4.0
Pedro Medina,Concepción,05-10,54.0
Pedro Medina,Mall,05-10,11.0
Pedro Medina,Lzo. Arenas,05-10,7.0
Pedro Medina,UTF Santa María,05-10,14.0
Pedro Medina,Los Cóndores,05-10,12.0
Pedro Medina,Higueras,05-10,19.0
Pedro Medina,El Arenal,05-10,8.0
Pedro Medina,Mercado,05-10,10.0
Pedro Medina,Juan Pablo II,05-10,11.0
Pedro Medina,Diagonal Bio Bio,05-10,2.0
Pedro Medina,Costa Mar,05-10,8.0
Pedro Medina,El Parque,05-10,5.0
Pedro Medina,Lomas Coloradas,05-10,7.0
Pedro Medina,Cdal. Raúl Silva Henríquez,05-10,4.0
Pedro Medina,Hito Galvarino,05-10,4.0
Pedro Medina,Los Canelos,05-10,4.0
Pedro Medina,Huinca,05-10,2.0
Pedro Medina,Cristo Redentor,05-10,1.0
Pedro Medina,Laguna Quiñenco,05-10,3.0
Pedro Medina,Coronel,05-10,3.0
Chiguayante,Hualqui,05-10,4.0
Chiguayante,La Leonera,05-10,4.0
Chiguayante,Manquimávida,05-10,15.0
Chiguayante,Pedro Medina,05-10,1.0
Chiguayante,Chiguayante,05-10,3.0
Chiguayante,Concepción,05-10,94.0
Chiguayante,Mall,05-10,11.0
Chiguayante,Lzo. Arenas,05-10,11.0
Chiguayante,UTF Santa María,05-10,22.0
Chiguayante,Los Cóndores,05-10,9.0
Chiguayante,Higueras,05-10,27.0
Chiguayante,El Arenal,05-10,11.0
Chiguayante,Mercado,05-10,24.0
Chiguayante,Juan Pablo II,05-10,10.0
Chiguayante,Diagonal Bio Bio,05-10,9.0
Chiguayante,Alborada,05-10,2.0
Chiguayante,Costa Mar,05-10,7.0
Chiguayante,El Parque,05-10,6.0
Chiguayante,Lomas Coloradas,05-10,8.0
Chiguayante,Cdal. Raúl Silva Henríquez,05-10,2.0
Chiguayante,Hito Galvarino,05-10,3.0
Chiguayante,Los Canelos,05-10,6.0
Chiguayante,Huinca,05-10,2.0
Chiguayante,Cristo Redentor,05-10,2.0
Chiguayante,Laguna Quiñenco,05-10,3.0
Chiguayante,Coronel,05-10,11.0
Concepción,Hualqui,05-10,11.0
Concepción,La Leonera,05-10,9.0
Concepción,Manquimávida,05-10,18.0
Concepción,Pedro Medina,05-10,11.0
Concepción,Chiguayante,05-10,15.0
Concepción,Concepción,05-10,27.0
Concepción,Mall,05-10,18.0
Concepción,Lzo. Arenas,05-10,7.0
Concepción,UTF Santa María,05-10,20.0
Concepción,Los Cóndores,05-10,8.0
Concepción,Higueras,05-10,53.0
Concepción,El Arenal,05-10,12.0
Concepción,Mercado,05-10,11.0
Concepción,Juan Pablo II,05-10,21.0
Concepción,Diagonal Bio Bio,05-10,9.0
Concepción,Alborada,05-10,17.0
Concepción,Costa Mar,05-10,37.0
Concepción,El Parque,05-10,65.0
Concepción,Lomas Coloradas,05-10,73.0
Concepción,Cdal. Raúl Silva Henríquez,05-10,38.0
Concepción,Hito Galvarino,05-10,66.0
Concepción,Los Canelos,05-10,111.0
Concepción,Huinca,05-10,58.0
Concepción,Cristo Redentor,05-10,47.0
Concepción,Laguna Quiñenco,05-10,56.0
Concepción,Coronel,05-10,208.0
Mall,Hualqui,05-10,3.0
Mall,La Leonera,05-10,6.0
Mall,Manquimávida,05-10,7.0
Mall,Pedro Medina,05-10,5.0
Mall,Chiguayante,05-10,5.0
Mall,Concepción,05-10,14.0
Mall,Mall,05-10,1.0
Mall,Lzo. Arenas,05-10,3.0
Mall,UTF Santa María,05-10,8.0
Mall,Los Cóndores,05-10,1.0
Mall,Higueras,05-10,10.0
Mall,El Arenal,05-10,10.0
Mall,Mercado,05-10,7.0
Mall,Juan Pablo II,05-10,6.0
Mall,Diagonal Bio Bio,05-10,5.0
Mall,Alborada,05-10,1.0
Mall,Costa Mar,05-10,7.0
Mall,El Parque,05-10,17.0
Mall,Lomas Coloradas,05-10,9.0
Mall,Cdal. Raúl Silva Henríquez,05-10,2.0
Mall,Hito Galvarino,05-10,8.0
Mall,Los Canelos,05-10,7.0
Mall,Huinca,05-10,6.0
Mall,Cristo Redentor,05-10,1.0
Mall,Laguna Quiñenco,05-10,8.0
Mall,Coronel,05-10,14.0
Lzo. Arenas,Hualqui,05-10,1.0
Lzo. Arenas,La Leonera,05-10,3.0
Lzo. Arenas,Manquimávida,05-10,3.0
Lzo. Arenas,Chiguayante,05-10,3.0
Lzo. Arenas,Concepción,05-10,14.0
Lzo. Arenas,Mall,05-10,4.0
Lzo. Arenas,UTF Santa María,05-10,2.0
Lzo. Arenas,Los Cóndores,05-10,8.0
Lzo. Arenas,Higueras,05-10,19.0
Lzo. Arenas,El Arenal,05-10,12.0
Lzo. Arenas,Mercado,05-10,12.0
Lzo. Arenas,Juan Pablo II,05-10,3.0
Lzo. Arenas,Diagonal Bio Bio,05-10,3.0
Lzo. Arenas,Alborada,05-10,1.0
Lzo. Arenas,Costa Mar,05-10,1.0
Lzo. Arenas,El Parque,05-10,1.0
Lzo. Arenas,Lomas Coloradas,05-10,4.0
Lzo. Arenas,Hito Galvarino,05-10,1.0
Lzo. Arenas,Los Canelos,05-10,11.0
Lzo. Arenas,Cristo Redentor,05-10,2.0
Lzo. Arenas,Coronel,05-10,6.0
UTF Santa María,Hualqui,05-10,4.0
UTF Santa María,La Leonera,05-10,5.0
UTF Santa María,Manquimávida,05-10,4.0
UTF Santa María,Pedro Medina,05-10,2.0
UTF Santa María,Chiguayante,05-10,5.0
UTF Santa María,Concepción,05-10,32.0
UTF Santa María,Mall,05-10,1.0
UTF Santa María,Lzo. Arenas,05-10,2.0
UTF Santa María,UTF Santa María,05-10,1.0
UTF Santa María,Los Cóndores,05-10,6.0
UTF Santa María,Higueras,05-10,26.0
UTF Santa María,El Arenal,05-10,5.0
UTF Santa María,Mercado,05-10,12.0
UTF Santa María,Juan Pablo II,05-10,4.0
UTF Santa María,Diagonal Bio Bio,05-10,6.0
UTF Santa María,Alborada,05-10,1.0
UTF Santa María,Costa Mar,05-10,1.0
UTF Santa María,El Parque,05-10,5.0
UTF Santa María,Lomas Coloradas,05-10,6.0
UTF Santa María,Cdal. Raúl Silva Henríquez,05-10,4.0
UTF Santa María,Hito Galvarino,05-10,7.0
UTF Santa María,Los Canelos,05-10,5.0
UTF Santa María,Huinca,05-10,3.0
UTF Santa María,Cristo Redentor,05-10,1.0
UTF Santa María,Laguna Quiñenco,05-10,4.0
UTF Santa María,Coronel,05-10,12.0
Los Cóndores,Hualqui,05-10,11.0
Los Cóndores,La Leonera,05-10,5.0
Los Cóndores,Manquimávida,05-10,12.0
Los Cóndores,Pedro Medina,05-10,7.0
Los Cóndores,Chiguayante,05-10,9.0
Los Cóndores,Concepción,05-10,117.0
Los Cóndores,Mall,05-10,6.0
Los Cóndores,Lzo. Arenas,05-10,10.0
Los Cóndores,UTF Santa María,05-10,18.0
Los Cóndores,Higueras,05-10,4.0
Los Cóndores,El Arenal,05-10,4.0
Los Cóndores,Mercado,05-10,2.0
Los Cóndores,Juan Pablo II,05-10,15.0
Los Cóndores,Diagonal Bio Bio,05-10,2.0
Los Cóndores,Alborada,05-10,8.0
Los Cóndores,El Parque,05-10,9.0
Los Cóndores,Lomas Coloradas,05-10,9.0
Los Cóndores,Cdal. Raúl Silva Henríquez,05-10,2.0
Los Cóndores,Hito Galvarino,05-10,8.0
Los Cóndores,Los Canelos,05-10,16.0
Los Cóndores,Huinca,05-10,3.0
Los Cóndores,Cristo Redentor,05-10,2.0
Los Cóndores,Laguna Quiñenco,05-10,3.0
Los Cóndores,Coronel,05-10,20.0
Higueras,La Leonera,05-10,3.0
Higueras,Manquimávida,05-10,2.0
Higueras,Pedro Medina,05-10,2.0
Higueras,Chiguayante,05-10,3.0
Higueras,Concepción,05-10,51.0
Higueras,Mall,05-10,5.0
Higueras,Lzo. Arenas,05-10,11.0
Higueras,UTF Santa María,05-10,7.0
Higueras,Los Cóndores,05-10,2.0
Higueras,El Arenal,05-10,2.0
Higueras,Mercado,05-10,9.0
Higueras,Juan Pablo II,05-10,11.0
Higueras,Diagonal Bio Bio,05-10,3.0
Higueras,Alborada,05-10,2.0
Higueras,Costa Mar,05-10,4.0
Higueras,El Parque,05-10,5.0
Higueras,Lomas Coloradas,05-10,4.0
Higueras,Cdal. Raúl Silva Henríquez,05-10,3.0
Higueras,Hito Galvarino,05-10,4.0
Higueras,Los Canelos,05-10,6.0
Higueras,Huinca,05-10,2.0
Higueras,Cristo Redentor,05-10,1.0
Higueras,Laguna Quiñenco,05-10,3.0
Higueras,Coronel,05-10,8.0
El Arenal,Hualqui,05-10,2.0
El Arenal,La Leonera,05-10,3.0
El Arenal,Manquimávida,05-10,5.0
El Arenal,Chiguayante,05-10,2.0
El Arenal,Concepción,05-10,49.0
El Arenal,Mall,05-10,6.0
El Arenal,Lzo. Arenas,05-10,7.0
El Arenal,UTF Santa María,05-10,9.0
El Arenal,Los Cóndores,05-10,1.0
El Arenal,Higueras,05-10,3.0
El Arenal,Mercado,05-10,1.0
El Arenal,Juan Pablo II,05-10,8.0
El Arenal,Diagonal Bio Bio,05-10,1.0
El Arenal,Alborada,05-10,1.0
El Arenal,Costa Mar,05-10,3.0
El Arenal,El Parque,05-10,6.0
El Arenal,Lomas Coloradas,05-10,2.0
El Arenal,Cdal. Raúl Silva Henríquez,05-10,1.0
El Arenal,Hito Galvarino,05-10,3.0
El Arenal,Los Canelos,05-10,2.0
El Arenal,Huinca,05-10,1.0
El Arenal,Cristo Redentor,05-10,3.0
El Arenal,Laguna Quiñenco,05-10,1.0
El Arenal,Coronel,05-10,12.0
Mercado,Hualqui,05-10,1.0
Mercado,La Leonera,05-10,2.0
Mercado,Manquimávida,05-10,2.0
Mercado,Pedro Medina,05-10,1.0
Mercado,Chiguayante,05-10,4.0
Mercado,Concepción,05-10,23.0
Mercado,Mall,05-10,10.0
Mercado,Lzo. Arenas,05-10,3.0
Mercado,UTF Santa María,05-10,5.0
Mercado,Higueras,05-10,3.0
Mercado,El Arenal,05-10,2.0
Mercado,Juan Pablo II,05-10,7.0
Mercado,Diagonal Bio Bio,05-10,1.0
Mercado,Alborada,05-10,2.0
Mercado,Costa Mar,05-10,2.0
Mercado,El Parque,05-10,5.0
Mercado,Lomas Coloradas,05-10,6.0
Mercado,Cdal. Raúl Silva Henríquez,05-10,1.0
Mercado,Hito Galvarino,05-10,1.0
Mercado,Los Canelos,05-10,2.0
Mercado,Huinca,05-10,2.0
Mercado,Laguna Quiñenco,05-10,1.0
Mercado,Coronel,05-10,8.0
Juan Pablo II,Hualqui,05-10,5.0
Juan Pablo II,Manquimávida,05-10,2.0
Juan Pablo II,Pedro Medina,05-10,4.0
Juan Pablo II,Chiguayante,05-10,3.0
Juan Pablo II,Concepción,05-10,30.0
Juan Pablo II,Mall,05-10,2.0
Juan Pablo II,UTF Santa María,05-10,4.0
Juan Pablo II,Higueras,05-10,5.0
Juan Pablo II,El Arenal,05-10,3.0
Juan Pablo II,Mercado,05-10,6.0
Juan Pablo II,Juan Pablo II,05-10,2.0
Juan Pablo II,Diagonal Bio Bio,05-10,6.0
Juan Pablo II,Alborada,05-10,3.0
Juan Pablo II,Costa Mar,05-10,7.0
Juan Pablo II,El Parque,05-10,12.0
Juan Pablo II,Lomas Coloradas,05-10,27.0
Juan Pablo II,Cdal. Raúl Silva Henríquez,05-10,11.0
Juan Pablo II,Hito Galvarino,05-10,24.0
Juan Pablo II,Los Canelos,05-10,24.0
Juan Pablo II,Huinca,05-10,15.0
Juan Pablo II,Cristo Redentor,05-10,11.0
Juan Pablo II,Laguna Quiñenco,05-10,10.0
Juan Pablo II,Coronel,05-10,44.0
Diagonal Bio Bio,Hualqui,05-10,1.0
Diagonal Bio Bio,La Leonera,05-10,5.0
Diagonal Bio Bio,Manquimávida,05-10,1.0
Diagonal Bio Bio,Pedro Medina,05-10,3.0
Diagonal Bio Bio,Chiguayante,05-10,11.0
Diagonal Bio Bio,Concepción,05-10,69.0
Diagonal Bio Bio,Mall,05-10,9.0
Diagonal Bio Bio,Lzo. Arenas,05-10,2.0
Diagonal Bio Bio,UTF Santa María,05-10,12.0
Diagonal Bio Bio,Los Cóndores,05-10,10.0
Diagonal Bio Bio,Higueras,05-10,7.0
Diagonal Bio Bio,El Arenal,05-10,5.0
Diagonal Bio Bio,Mercado,05-10,6.0
Diagonal Bio Bio,Juan Pablo II,05-10,6.0
Diagonal Bio Bio,Diagonal Bio Bio,05-10,3.0
Diagonal Bio Bio,Alborada,05-10,7.0
Diagonal Bio Bio,Costa Mar,05-10,24.0
Diagonal Bio Bio,El Parque,05-10,17.0
Diagonal Bio Bio,Lomas Coloradas,05-10,49.0
Diagonal Bio Bio,Cdal. Raúl Silva Henríquez,05-10,15.0
Diagonal Bio Bio,Hito Galvarino,05-10,23.0
Diagonal Bio Bio,Los Canelos,05-10,37.0
Diagonal Bio Bio,Huinca,05-10,20.0
Diagonal Bio Bio,Cristo Redentor,05-10,12.0
Diagonal Bio Bio,Laguna Quiñenco,05-10,16.0
Diagonal Bio Bio,Coronel,05-10,54.0
Alborada,Hualqui,05-10,2.0
Alborada,La Leonera,05-10,1.0
Alborada,Pedro Medina,05-10,3.0
Alborada,Concepción,05-10,94.0
Alborada,Mall,05-10,3.0
Alborada,Lzo. Arenas,05-10,2.0
Alborada,UTF Santa María,05-10,4.0
Alborada,Los Cóndores,05-10,2.0
Alborada,Higueras,05-10,5.0
Alborada,El Arenal,05-10,4.0
Alborada,Mercado,05-10,2.0
Alborada,Juan Pablo II,05-10,25.0
Alborada,Diagonal Bio Bio,05-10,38.0
Alborada,Alborada,05-10,2.0
