linea,tren_id,sentido,servicio,offset_min
L2,L2-CC->CW-20001,CC->CW,20001,-1
L2,L2-CC->CW-20003,CC->CW,20003,0
L2,L2-CC->CW-20005,CC->CW,20005,-1
L2,L2-CC->CW-20009,CC->CW,20009,0
L2,L2-CC->CW-20011,CC->CW,20011,-1
L2,L2-CC->CW-20015,CC->CW,20015,0
L2,L2-CC->CW-20017,CC->CW,20017,1
L2,L2-CC->CW-20023,CC->CW,20023,-3
L2,L2-CC->CW-20025,CC->CW,20025,-1
L2,L2-CC->CW-20027,CC->CW,20027,0
L2,L2-CC->CW-20029,CC->CW,20029,0
L2,L2-CC->CW-20031,CC->CW,20031,0
L2,L2-CC->CW-20033,CC->CW,20033,0
L2,L2-CC->CW-20035,CC->CW,20035,0
L2,L2-CC->CW-20037,CC->CW,20037,0
L2,L2-CC->CW-20041,CC->CW,20041,0
L2,L2-CC->CW-20049,CC->CW,20049,0
L2,L2-CC->CW-20051,CC->CW,20051,0
L2,L2-CC->CW-20053,CC->CW,20053,0
L2,L2-CC->CW-20055,CC->CW,20055,0
L2,L2-CC->CW-20057,CC->CW,20057,0
L2,L2-CC->CW-20059,CC->CW,20059,0
L2,L2-CC->CW-20063,CC->CW,20063,0
L2,L2-CC->CW-20065,CC->CW,20065,0
L2,L2-CC->CW-20067,CC->CW,20067,0
L2,L2-CC->CW-20069,CC->CW,20069,0
L2,L2-CC->CW-20071,CC->CW,20071,0
L2,L2-CC->CW-20073,CC->CW,20073,0
L2,L2-CC->CW-20075,CC->CW,20075,0
L2,L2-CC->CW-20077,CC->CW,20077,-3
L2,L2-CC->CW-20079,CC->CW,20079,-2
L2,L2-CC->CW-20083,CC->CW,20083,-1
L2,L2-CC->CW-20085,CC->CW,20085,0
L2,L2-CC->CW-20087,CC->CW,20087,9
L2,L2-CC->CW-20089,CC->CW,20089,-3
L2,L2-CC->CW-20091,CC->CW,20091,-2
L2,L2-CC->CW-20093,CC->CW,20093,-1
L2,L2-CC->CW-20095,CC->CW,20095,0
L2,L2-CC->CW-20097,CC->CW,20097,3
L2,L2-CC->CW-20099,CC->CW,20099,-3
L2,L2-CC->CW-20101,CC->CW,20101,-1
L2,L2-CC->CW-20105,CC->CW,20105,0
L2,L2-CC->CW-20107,CC->CW,20107,0
L2,L2-CC->CW-20109,CC->CW,20109,0
L2,L2-CC->CW-20111,CC->CW,20111,0
L2,L2-CC->CW-20113,CC->CW,20113,0
L2,L2-CC->CW-20115,CC->CW,20115,0
L2,L2-CC->CW-20281,CC->CW,20281,0
L2,L2-CC->CW-20283,CC->CW,20283,0
L2,L2-CW->CC-20000,CW->CC,20000,0
L2,L2-CW->CC-20002,CW->CC,20002,1
L2,L2-CW->CC-20004,CW->CC,20004,3
L2,L2-CW->CC-20008,CW->CC,20008,1
L2,L2-CW->CC-20010,CW->CC,20010,2
L2,L2-CW->CC-20014,CW->CC,20014,1
L2,L2-CW->CC-20016,CW->CC,20016,3
L2,L2-CW->CC-20018,CW->CC,20018,0
L2,L2-CW->CC-20020,CW->CC,20020,0
