corredor,label,nombre,x,y
K05-CC,CC,Concepción,5169.0,1382.0
K05-CC,CCEZ1,Lorenzo Arenas,7845.0,1385.0
K-04-OH-ZW-CV_1,ZWCV1,Manquimávida,540.0,2230.0
K-04-OH-ZW-CV_1,OH,Omer Huet,545.0,2520.0
K-04-OH-ZW-CV_1,ZW,La Leonera,1645.0,2460.0
K-04-OH-ZW-CV_1,ZWCV2,Pedro Medina,1305.0,2230.0
K-04-OH-ZW-CV_1,CV,Chiguayante,155.0,1970.0
K-06-EZ-TH_1,CCEZ2,UTF Santa María,65.0,535.0
K-06-EZ-TH_1,CCEZ3,Los Cóndores,1485.0,610.0
K-06-EZ-TH_1,EZ,El Arenal,1655.0,240.0
K-06-EZ-TH_1,CCEZ4,Hospital Las Higueras,740.0,300.0
K-06-EZ-TH_1,EZTH1,Mercado,665.0,-25.0
K-06-EZ-TH_1,TH,Talcahuano,810.0,-40.0
K02-TL-UN,UN,Unihue,4280.0,3975.0
K02-TL-UN,TL,Talcamávida,4830.0,4370.0
K02-TL-UN,TLUN1,Los Acacios,6405.0,4435.0
K02-TL-UN,TLUN2,Valle Chanco,2135.0,3990.0
K01-BU-GO,GO,Gomero,5355.0,5110.0
K01-BU-GO,BU,Buenuraqui,6425.0,5405.0
K03-QU-HQ,HQ,Hualqui,6680.0,2960.0
K03-QU-HQ,UNQU1,San Miguel,2065.0,3355.0
K03-QU-HQ,QU,Quilacoya,4855.0,3425.0
L01-BB-LM,LM,Lomas Coloradas,2525.0,5990.0
L01-BB-LM,SUC,Costa Mar,7381.0,6389.0
L01-BB-LM,SU,Boca Sur,6525.0,6470.0
L01-BB-LM,BB,Biobío,2225.0,6470.0
L01-BB-LM,BBJ,Juan Pablo II,2920.0,6465.0
L01-BB-LM,BBD,Diagonal Biobío,4660.0,6465.0
L01-BB-LM,SUP,El Parque,885.0,5995.0
L01-BB-LM,LMC,Cardenal Raúl Silva Henríquez,4355.0,5995.0
L02-ES-CW,YN,Playa Blanca,7005.0,7020.0
L02-ES-CW,GUQ,Laguna Quiñenco,530.0,7115.0
L02-ES-CW,ESH,Huinca,6415.0,7490.0
L02-ES-CW,LMH,Hito Galvarino,2550.0,7490.0
L02-ES-CW,ES,Escuadrón,2690.0,7400.0
L02-ES-CW,ESC,Los Canelos,5550.0,7490.0
L02-ES-CW,GU,Lagunillas,7570.0,7495.0
L02-ES-CW,CW,Coronel,2030.0,7115.0
L02-ES-CW,JC,Puerto Coronel,2045.0,6985.0
L02-ES-CW,TS,Patio Sur Coronel,4625.0,7090.0
L02-ES-CW,CWS,Coronel Sur,3415.0,7090.0
L03-LT-IV,TSC,Chiflón,1085.0,8360.0
L03-LT-IV,LT,Lota,2285.0,8430.0
L03-LT-IV,CO,Colcura,4640.0,8425.0
L03-LT-IV,AQ,Laraquete,6570.0,8210.0
L03-LT-IV,TSO,Cousiño,1620.0,8360.0
