corredor,nombre,x,y,tipo,principal,lado
K05-CC,Concepción,3760.0,1410.0,Principal/Distante,True,right
K05-CC,Concepción,3760.0,1430.0,Principal/Distante,True,left
K05-CC,Concepción,3345.0,1410.0,Distante 2 asp.,False,right
K05-CC,Concepción,3345.0,1430.0,Distante 2 asp.,False,left
K05-CC,Concepción,5170.0,1490.0,Principal/Distante 3 asp.,True,right
K05-CC,Concepción,6240.0,1255.0,Principal/Distante 3 asp.,True,right
K05-CC,Concepción,5170.0,1510.0,Principal/Distante 3 asp.,True,right
K05-CC,Concepción,5225.0,1470.0,Principal/Distante 3 asp.,True,right
K05-CC,Concepción,4665.0,1410.0,Principal 2 asp.,True,left
K05-CC,Concepción,4885.0,1430.0,Principal 2 asp.,True,right
K05-CC,Concepción,4920.0,1410.0,Distante,False,left
K05-CC,Concepción,4860.0,1470.0,Principal 2 asp.,True,right
K05-CC,Concepción,4940.0,1490.0,Distante,False,right
K05-CC,Concepción,4665.0,1450.0,Principal 2 asp.,True,right
K05-CC,Concepción,5285.0,1430.0,Principal/Distante 3 asp.,True,left
K05-CC,Concepción,5285.0,1410.0,Principal/Distante 3 asp.,True,right
K05-CC,Concepción,5640.0,1450.0,Principal/Distante 3 asp.,True,right
K05-CC,Concepción,6825.0,1665.0,Principal/Distante 3 asp.,True,right
K05-CC,Concepción,6825.0,1665.0,Distante 2 asp.,False,left
K05-CC,Concepción,7385.0,1430.0,Principal/Distante 3 asp.,True,right
K05-CC,Concepción,7385.0,1410.0,Principal/Distante 3 asp.,True,left
K05-CC,Concepción,8695.0,1410.0,Principal/Distante 3 asp.,True,left
K05-CC,Concepción,8695.0,1410.0,Principal/Distante 3 asp.,True,right
K05-CC,Concepción,8695.0,1430.0,Principal/Distante 3 asp.,True,right
K05-CC,Concepción,8695.0,1430.0,Principal/Distante 3 asp.,True,left
K05-CC,Concepción,6240.0,1255.0,Principal,True,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,120.0,2735.0,Distante 2 asp.,False,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,825.0,2490.0,Distante 2 asp.,False,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1611.0,2490.0,Distante,False,left
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1585.0,2510.0,Distante,False,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1665.0,2510.0,Principal 2 asp.,True,left
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1665.0,2490.0,Principal 2 asp.,True,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1005.0,2490.0,Principal/Distante 3 asp.,True,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1240.0,2490.0,Principal 2 asp.,True,left
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1240.0,2510.0,Principal 2 asp.,True,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,315.0,2275.0,Distante 2 asp.,False,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,315.0,2255.0,Distante 2 asp.,False,left
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,135.0,2255.0,Principal/Distante 3 asp.,True,left
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,135.0,2275.0,Principal/Distante 3 asp.,True,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,730.0,2480.0,Principal,True,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,400.0,2480.0,Principal,True,left
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1620.0,2255.0,Principal/Distante 3 asp.,True,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1620.0,2275.0,Principal/Distante 3 asp.,True,left
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1440.0,2255.0,Distante 2 asp.,False,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1440.0,2275.0,Distante 2 asp.,False,left
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,130.0,2020.0,Principal 2 asp.,True,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,700.0,2020.0,Principal/Distante 3 asp.,True,left
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,700.0,2040.0,Principal/Distante 3 asp.,True,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,330.0,2040.0,Principal 2 asp.,True,left
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,130.0,2040.0,Principal 2 asp.,True,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,130.0,2000.0,Principal 2 asp.,True,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,370.0,2020.0,Principal 2 asp.,True,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,330.0,2000.0,Principal 2 asp.,True,right
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,885.0,2020.0,Distante 2 asp.,False,left
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,885.0,2040.0,Distante 2 asp.,False,right
K-06-EZ-TH_1,El Arenal–Mercado,1645.0,290.0,Principal/Distante 3 asp.,True,left
