linea,sentido,servicio,salida_min
L1,LJ->TH,20842,398
L1,LJ->TH,20351,560
L1,LJ->TH,20844,655
L1,LJ->TH,20315,853
L1,LJ->TH,20856,855
L1,LJ->TH,20264,1230
L1,LJ->TH,20855,1394
L1,TH->LJ,20205,381
L1,TH->LJ,20207,416
L1,TH->LJ,20351,421
L1,TH->LJ,20301,444
L1,TH->LJ,20397,476
L1,TH->LJ,20305,506
L1,TH->LJ,20842,536
L1,TH->LJ,20309,566
L1,TH->LJ,20219,598
L1,TH->LJ,20377,601
L1,TH->LJ,20311,611
L1,TH->LJ,20313,656
L1,TH->LJ,20231,660
L1,TH->LJ,20229,711
L1,TH->LJ,20315,757
L1,TH->LJ,20844,793
L1,TH->LJ,20239,898
L1,TH->LJ,20241,928
L1,TH->LJ,20243,958
L1,TH->LJ,20856,993
L1,TH->LJ,20321,1016
L1,TH->LJ,20323,1046
L1,TH->LJ,20325,1076
L1,TH->LJ,20326,1081
L1,TH->LJ,20327,1136
L1,TH->LJ,20324,1166
L1,TH->LJ,20256,1196
L1,TH->LJ,20328,1251
L1,TH->LJ,20855,1255
L1,TH->LJ,20330,1267
L1,TH->LJ,20332,1316
L1,TH->LJ,20266,1319
L1,TH->LJ,20270,1319
L1,TH->LJ,20264,1368
L1,TH->LJ,20272,1370
L2,CC->CW,20281,330
L2,CC->CW,20001,405
L2,CC->CW,20283,414
L2,CC->CW,20003,417
L2,CC->CW,20285,425
L2,CC->CW,20005,433
L2,CC->CW,20009,445
L2,CC->CW,20011,462
L2,CC->CW,20015,474
L2,CC->CW,20017,497
L2,CC->CW,20023,508
L2,CC->CW,20025,519
L2,CC->CW,20027,531
L2,CC->CW,20029,543
L2,CC->CW,20028,555
L2,CC->CW,20030,570
L2,CC->CW,20032,590
L2,CC->CW,20034,605
L2,CC->CW,20036,630
L2,CC->CW,20280,690
L2,CC->CW,20050,702
L2,CC->CW,20040,705
L2,CC->CW,20052,722
L2,CC->CW,20042,730
L2,CC->CW,20054,737
L2,CC->CW,20044,743
L2,CC->CW,20056,777
L2,CC->CW,20048,780
L2,CC->CW,20059,795
L2,CC->CW,20063,875
L2,CC->CW,20065,915
L2,CC->CW,20291,927
L2,CC->CW,20067,930
L2,CC->CW,20069,980
L2,CC->CW,20071,1000
L2,CC->CW,20293,1007
L2,CC->CW,20073,1015
L2,CC->CW,20075,1032
L2,CC->CW,20077,1044
L2,CC->CW,20079,1056
L2,CC->CW,20083,1068
L2,CC->CW,20085,1080
L2,CC->CW,20087,1092
L2,CC->CW,20089,1104
L2,CC->CW,20091,1116
L2,CC->CW,20093,1128
L2,CC->CW,20095,1140
L2,CC->CW,20097,1150
L2,CC->CW,20099,1157
L2,CC->CW,20101,1170
L2,CC->CW,20105,1185
L2,CC->CW,20107,1200
L2,CC->CW,20109,1215
L2,CC->CW,20111,1230
L2,CC->CW,20113,1245
L2,CC->CW,20115,1260
L2,CC->CW,20122,1275
L2,CC->CW,20292,1290
L2,CC->CW,20126,1305
L2,CC->CW,20128,1345
L2,CC->CW,20294,1370
L2,CC->CW,20298,1405
L2,CW->CC,20281,374
L2,CW->CC,20283,400
L2,CW->CC,20285,436
L2,CW->CC,20001,447
L2,CW->CC,20003,459
L2,CW->CC,20005,475
L2,CW->CC,20009,487
L2,CW->CC,20011,504
L2,CW->CC,20015,516
L2,CW->CC,20017,539
L2,CW->CC,20023,550
L2,CW->CC,20025,561
L2,CW->CC,20027,573
L2,CW->CC,20029,585
L2,CW->CC,20028,597
L2,CW->CC,20030,612
L2,CW->CC,20032,632
L2,CW->CC,20034,647
L2,CW->CC,20050,660
L2,CW->CC,20036,672
L2,CW->CC,20052,680
L2,CW->CC,20054,695
L2,CW->CC,20280,732
L2,CW->CC,20056,735
L2,CW->CC,20040,747
L2,CW->CC,20042,772
L2,CW->CC,20044,785
L2,CW->CC,20048,822
L2,CW->CC,20059,837
L2,CW->CC,20063,917
L2,CW->CC,20065,957
L2,CW->CC,20067,972
L2,CW->CC,20291,1004
L2,CW->CC,20069,1022
L2,CW->CC,20293,1031
L2,CW->CC,20071,1042
L2,CW->CC,20073,1057
L2,CW->CC,20075,1077
L2,CW->CC,20077,1089
L2,CW->CC,20079,1101
L2,CW->CC,20083,1113
L2,CW->CC,20085,1125
L2,CW->CC,20087,1137
L2,CW->CC,20089,1149
L2,CW->CC,20091,1161
L2,CW->CC,20093,1173
L2,CW->CC,20095,1185
L2,CW->CC,20097,1195
L2,CW->CC,20099,1202
L2,CW->CC,20101,1215
L2,CW->CC,20105,1227
L2,CW->CC,20107,1242
L2,CW->CC,20109,1257
L2,CW->CC,20111,1272
L2,CW->CC,20113,1287
L2,CW->CC,20115,1302
L2,CW->CC,20122,1317
L2,CW->CC,20292,1332
L2,CW->CC,20126,1347
L2,CW->CC,20298,1370
L2,CW->CC,20128,1387
L2,CW->CC,20294,1412
