linea,tren_id,canton,espera_min,hora,estacion_espera
L2,L2-CC->CW-20005,L2-B0,0.5,433.0,CONCEPCIÓN
L2,L2-CC->CW-20011,L2-B0,0.5,462.0,CONCEPCIÓN
L2,L2-CC->CW-20017,L2-B0,9.5,497.0,CONCEPCIÓN
L2,L2-CC->CW-20023,L2-B0,9.5,508.0,CONCEPCIÓN
L2,L2-CC->CW-20025,L2-B0,10.5,519.0,CONCEPCIÓN
L2,L2-CC->CW-20027,L2-B0,3.0,531.0,CONCEPCIÓN
L2,L2-CC->CW-20035,L2-B0,8.5,590.0,CONCEPCIÓN
L2,L2-CC->CW-20041,L2-B0,8.5,630.0,CONCEPCIÓN
L2,L2-CC->CW-20053,L2-B0,8.5,730.0,CONCEPCIÓN
L2,L2-CC->CW-20071,L2-B0,8.5,1000.0,CONCEPCIÓN
L2,L2-CC->CW-20087,L2-B0,9.5,1092.0,CONCEPCIÓN
L2,L2-CC->CW-20089,L2-B0,9.5,1104.0,CONCEPCIÓN
L2,L2-CC->CW-20091,L2-B0,9.5,1116.0,CONCEPCIÓN
L2,L2-CC->CW-20093,L2-B0,2.4,1128.0,CONCEPCIÓN
